#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,2.0,1.0,562689.0,628816.5,5.311450581852148e-08,8.837610324308485e-08
2020-01-21,5.0,4.0,288157.0,153211.5,1.378873783878136e-07,3.5549453689326745e-07
2020-01-22,48.0,3.0,53867.0,193978.0,1.3067804262587072e-06,2.6853473751937807e-07
2020-01-23,77.0,9.0,34124.0,77622.0,2.2399978496020645e-06,8.237276017024436e-07
2020-01-24,44.0,5.0,53681.5,123935.0,1.248461271482897e-06,4.389878450411538e-07
2020-01-25,80.0,26.0,36531.5,33770.5,2.0865202757086157e-06,2.2242057575105862e-06
2020-01-26,131.0,13.0,22579.0,58029.5,3.659691592481552e-06,1.1446255515994557e-06
2020-01-27,48.0,16.0,51180.5,47625.5,1.3675786811464377e-06,1.4600739582212613e-06
2020-01-28,51.0,18.0,50984.5,45117.5,1.3754421068730922e-06,1.56074389215884e-06
2020-01-29,79.0,22.0,34555.0,37537.0,2.2133798475575257e-06,1.9797598353343758e-06
2020-01-30,177.0,54.0,15916.5,16376.0,5.293431031528214e-06,4.967104431071079e-06
2020-01-31,183.0,49.0,16394.0,18364.5,5.1171548842544285e-06,4.314219579689359e-06
2020-02-01,102.0,32.0,28531.5,27511.0,2.7797435833707235e-06,2.7788649604493698e-06
2020-02-02,122.0,29.0,24022.0,29524.0,3.4036680884606635e-06,2.5407060534511987e-06
2020-02-03,141.0,32.0,20946.5,26951.0,3.958177392372946e-06,2.808327111133577e-06
2020-02-04,61.0,19.0,42267.0,42121.5,1.7369426546104626e-06,1.660070652606975e-06
2020-02-05,110.0,32.0,26605.0,27608.0,2.9885704026767163e-06,2.7018376126360216e-06
