#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,2.0,1.0,547190.0,624636.0,5.490035941618298e-08,8.32075512516912e-08
2020-02-12,7.0,1.0,217493.0,614227.0,1.971998966897913e-07,8.362712238319235e-08
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,8.0,2.0,193917.5,265651.5,2.1768872748721004e-07,1.6126346701134045e-07
2020-02-22,8.0,0.0,212411.5,1250275.0,1.9684177218615926e-07,0.0
2020-02-23,,,,,,
2020-02-24,9.0,3.0,195184.0,197395.0,2.2388222879335914e-07,2.1907743861669245e-07
2020-02-25,13.0,3.0,148503.0,198657.0,3.1497770091137336e-07,2.093301957062888e-07
2020-02-26,5.0,1.0,284289.0,633502.0,1.2829678145200087e-07,7.277784141795689e-08
2020-02-27,25.0,1.0,85488.5,623809.0,6.507365322395962e-07,7.128892152337296e-08
2020-02-28,79.0,9.0,33882.0,78944.0,2.074098453725472e-06,6.326139926483225e-07
2020-02-29,78.0,7.0,37467.5,101340.0,1.880119030817923e-06,4.784552947776742e-07
2020-03-01,49.0,4.0,54313.0,157828.0,1.1835328552343673e-06,2.722680740566439e-07
2020-03-02,46.0,7.0,56372.5,99140.0,1.164410924260284e-06,5.232648015914426e-07
2020-03-03,12.0,2.0,152261.0,271401.0,3.198894376799528e-07,1.6209896109154848e-07
2020-03-04,23.0,3.0,93541.0,190947.0,6.167060741848071e-07,2.411087918231329e-07
2020-03-05,15.0,6.0,127193.0,110015.0,3.8074727541691754e-07,4.458053395442933e-07
2020-03-06,45.0,8.0,53490.5,88204.5,1.1938922383314545e-06,6.189581464369869e-07
2020-03-07,69.0,7.0,41421.5,102195.5,1.6769624872240978e-06,5.152353624577728e-07
2020-03-08,77.0,4.0,39588.0,167226.5,1.7103985970644315e-06,2.659732920259079e-07
2020-03-09,109.0,9.0,28706.5,84560.5,2.6305587326054906e-06,6.710817382776747e-07
2020-03-10,115.0,15.0,26566.0,55771.5,2.9021428716355457e-06,1.131210970393494e-06
2020-03-11,84.0,7.0,36140.5,107032.5,2.005289332574538e-06,4.886053395768721e-07
2020-03-12,81.0,8.0,36327.5,94112.0,1.986598212252911e-06,5.932103222748545e-07
2020-03-13,59.0,8.0,47025.5,95089.5,1.4100056486260188e-06,5.976005739355912e-07
2020-03-14,50.0,13.0,56234.5,65612.5,1.1344021776528715e-06,9.558950044927065e-07
2020-03-15,57.0,20.0,51473.0,47075.0,1.2504530424279376e-06,1.379088073873887e-06
2020-03-16,47.0,15.0,59315.5,59923.0,1.0434920840024449e-06,1.0298444811252164e-06
2020-03-17,106.0,29.0,32078.5,35784.5,2.2805335527694267e-06,1.9679159132602384e-06
2020-03-18,97.0,22.0,33359.5,43882.5,2.172111777678224e-06,1.5350132332095368e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
