#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,5.0,1.0,292845.5,645229.5,1.2437901599631065e-07,7.302581287223082e-08
2020-02-25,4.0,4.0,340607.0,157412.5,9.691621566503797e-08,2.7910692760838505e-07
2020-02-26,,,,,,
2020-02-27,2.0,1.0,534553.5,623809.0,5.2058922579167696e-08,7.128892152337296e-08
2020-02-28,3.0,2.0,382812.5,266268.5,7.876323241995463e-08,1.4058088725518278e-07
2020-02-29,3.0,1.0,415840.0,646755.5,7.231227041607397e-08,6.835075639681059e-08
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,2.0,1.0,547198.5,629829.0,5.3314906279992135e-08,8.104948054577424e-08
2020-03-04,68.0,4.0,39627.5,151430.0,1.8233049149811687e-06,3.214783890975105e-07
2020-03-05,12.0,3.0,149389.5,191600.5,3.045978203335341e-07,2.229026697721467e-07
2020-03-06,4.0,1.0,313672.0,629544.5,1.0612375451835153e-07,7.736976830462336e-08
2020-03-07,9.0,0.0,193514.0,1268886.0,2.187342374640127e-07,0.0
2020-03-08,28.0,2.0,87283.0,307031.5,6.219631262052477e-07,1.3298664601295395e-07
2020-03-09,11.0,2.0,169411.0,285913.5,2.6546922989596696e-07,1.4912927517281661e-07
2020-03-10,13.0,4.0,148093.5,160163.0,3.280683246196704e-07,3.016562587715984e-07
2020-03-11,15.0,3.0,136688.0,209516.5,3.580873808168819e-07,2.09402288390088e-07
2020-03-12,42.0,6.0,61180.5,118033.0,1.0300879619089173e-06,4.449077417061411e-07
2020-03-13,21.0,5.0,102487.0,137464.0,5.01866417307566e-07,3.7350035870974455e-07
2020-03-14,32.0,12.0,78998.5,69965.0,7.260173936978376e-07,8.823646195317292e-07
2020-03-15,53.0,21.0,54475.5,45236.5,1.16270195173124e-06,1.448042477567581e-06
2020-03-16,59.0,17.0,49724.0,54094.0,1.3099155948115795e-06,1.1671570786085785e-06
2020-03-17,88.0,25.0,37173.0,40485.5,1.893273138148204e-06,1.696479235569171e-06
2020-03-18,38.0,17.0,70216.0,54259.5,8.509303871316754e-07,1.1861465892982785e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
