covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,2.0,1.0,520621.5,611362.0,5.415232442354308e-08,7.704686753247314e-08
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,4.0,0.0,335506.5,1220243.0,1.0195952961174932e-07,0.0
2020-02-24,5.0,0.0,292845.5,1254843.0,1.2437901599631065e-07,0.0
2020-02-25,5.0,4.0,291377.0,157412.5,1.2114526958129747e-07,2.7910692760838505e-07
2020-02-26,3.0,1.0,408093.5,633502.0,7.697806887120053e-08,7.277784141795689e-08
2020-02-27,5.0,1.0,272607.5,623809.0,1.3014730644791926e-07,7.128892152337296e-08
2020-02-28,,,,,,
2020-02-29,2.0,1.0,563787.0,646755.5,4.820818027738264e-08,6.835075639681059e-08
2020-03-01,9.0,5.0,194043.5,132206.0,2.1738358565529194e-07,3.4033509257080484e-07
2020-03-02,7.0,2.0,225878.0,275373.0,1.7719296673526057e-07,1.4950422902612646e-07
2020-03-03,3.0,1.0,403586.0,629829.0,7.99723594199882e-08,8.104948054577424e-08
2020-03-04,17.0,1.0,117513.5,628171.0,4.5582622874529217e-07,8.036959727437763e-08
2020-03-05,26.0,6.0,84174.0,110015.0,6.599619440559905e-07,4.458053395442933e-07
2020-03-06,5.0,1.0,267772.0,629544.5,1.3265469314793938e-07,7.736976830462336e-08
2020-03-07,19.0,7.0,112962.5,102195.5,4.6177227909069356e-07,5.152353624577728e-07
2020-03-08,10.0,2.0,186099.5,307031.5,2.2212968793044568e-07,1.3298664601295395e-07
2020-03-09,6.0,4.0,258847.0,160506.5,1.4480139812507287e-07,2.9825855034563323e-07
2020-03-10,17.0,3.0,121529.0,201950.5,4.2901242450264593e-07,2.2624219407869877e-07
2020-03-11,10.0,4.0,182906.0,166221.5,2.387249205445879e-07,2.7920305118678396e-07
2020-03-12,10.0,2.0,178702.5,290572.0,2.4525903854974214e-07,1.4830258056871363e-07
2020-03-13,20.0,9.0,106190.5,86633.0,4.77968016483396e-07,6.723006456775401e-07
2020-03-14,13.0,3.0,154394.5,210768.5,2.949445661897466e-07,2.205911548829323e-07
2020-03-15,26.0,12.0,93911.0,70938.5,5.703820895285329e-07,8.27452844324332e-07
2020-03-16,38.0,11.0,69726.5,76544.0,8.436744508955937e-07,7.55219286158492e-07
2020-03-17,63.0,12.0,48359.5,72847.5,1.3554114511742822e-06,8.14310033073202e-07
2020-03-18,50.0,10.0,56837.0,82794.5,1.1196452462258885e-06,6.977332878225168e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
