فيروس,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,25.0,14.0,83344.5,52603.0,7.43481665756992e-07,1.3568368488976088e-06
2020-01-02,34.0,13.0,66810.5,57249.5,9.89533615635632e-07,1.2316731768489406e-06
2020-01-03,12.0,6.0,144462.0,108315.0,3.275464340060673e-07,5.337662770914185e-07
2020-01-04,69.0,9.0,40204.5,78626.5,1.8419410620504029e-06,8.329618169377601e-07
2020-01-05,65.0,18.0,42041.5,44970.5,1.797065668235413e-06,1.6718281264091537e-06
2020-01-06,46.0,20.0,55226.5,41614.0,1.267168514983455e-06,1.8381487929979763e-06
2020-01-07,58.0,17.0,46426.0,48491.0,1.5487136117721032e-06,1.5164680851709136e-06
2020-01-08,75.0,32.0,35216.0,26668.0,2.1875864734703074e-06,3.0673435271383216e-06
2020-01-09,41.0,23.0,54380.0,34691.5,1.264154093600744e-06,2.222492571801729e-06
2020-01-10,32.0,17.0,65520.0,44300.0,9.434272938763932e-07,1.6053591041945103e-06
2020-01-11,56.0,17.0,44047.5,45087.5,1.5992518699752255e-06,1.6119505844221662e-06
2020-01-12,39.0,8.0,59287.0,83154.0,1.1449274736884657e-06,7.775506357982955e-07
2020-01-13,88.0,13.0,30480.5,55906.0,2.6058053196923372e-06,1.2631218932059587e-06
2020-01-14,69.0,27.0,37271.0,30800.0,2.031559481588418e-06,2.5733191031963862e-06
2020-01-15,51.0,17.0,48330.0,45596.0,1.4886092061372612e-06,1.610279112520242e-06
2020-01-16,100.0,31.0,27034.5,27166.5,2.9528876229006594e-06,2.9161164064753963e-06
2020-01-17,102.0,29.0,26113.0,28569.0,3.0110674440731124e-06,2.6590279822351257e-06
2020-01-18,107.0,42.0,26499.0,21768.0,3.0447141599582404e-06,3.806117463853438e-06
2020-01-19,99.0,35.0,29157.0,26011.5,2.7704672113106707e-06,3.1267012604894126e-06
2020-01-20,233.0,51.0,14339.5,18882.5,6.187839927857754e-06,4.507181265397327e-06
2020-01-21,405.0,107.0,8224.5,9545.0,1.11688776494129e-05,9.509478861894903e-06
2020-01-22,516.0,153.0,6564.0,6846.5,1.4047889582281103e-05,1.3695271613488284e-05
2020-01-23,1141.0,252.0,2726.5,4003.0,3.3192695407739676e-05,2.306437284766842e-05
2020-01-24,2736.0,415.0,1111.5,2464.5,7.763159179039107e-05,3.643599113841577e-05
2020-01-25,7665.0,1159.0,416.0,873.5,0.00019991472391633176,9.914824895979888e-05
2020-01-26,4267.0,795.0,677.0,1259.5,0.00011920537423754796,6.99982548862744e-05
2020-01-27,2975.0,683.0,1023.5,1400.5,8.476138700855526e-05,6.232690709157011e-05
2020-01-28,2134.0,519.0,1552.0,1991.5,5.755281286406233e-05,4.500144889057989e-05
2020-01-29,2348.0,662.0,1331.0,1509.0,6.578501116538063e-05,5.957277322687985e-05
2020-01-30,3663.0,838.0,754.5,1123.5,0.00010954710660162625,7.708210209699192e-05
