#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,1.0,0.0,66202.5,78912.5,6.800042704268183e-07,0.0
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,1.0,1.0,82200.0,46441.0,4.686037809764672e-07,3.0253982180404496e-06
2020-01-09,,,,,,
2020-01-10,2.0,1.0,41188.0,50799.0,9.42636781310152e-07,2.5922719189552106e-06
2020-01-11,1.0,1.0,79718.0,45248.0,5.792209131186008e-07,3.1978305917265724e-06
2020-01-12,,,,,,
2020-01-13,1.0,0.0,88390.0,103856.0,5.190868224619252e-07,0.0
2020-01-14,2.0,2.0,41268.5,16479.0,9.310687878275793e-07,5.338629253552858e-06
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,4.0,1.0,25942.5,53505.5,1.902687974869297e-06,2.4169067460701096e-06
2020-01-22,17.0,5.0,9172.0,7042.0,7.826747125627118e-06,1.2038388011691682e-05
2020-01-23,20.0,4.0,7290.0,8412.5,1.0204659549596942e-05,1.015744032503809e-05
2020-01-24,27.0,7.0,5426.0,4566.0,1.449226354664335e-05,1.891718058340585e-05
2020-01-25,22.0,5.0,5979.0,5765.0,1.2749787165484704e-05,1.5115649836902139e-05
2020-01-26,13.0,6.0,8637.5,4617.5,8.003861555359633e-06,1.9046591136351373e-05
2020-01-27,26.0,3.0,6813.0,12400.0,9.647234045237364e-06,6.2050264851213825e-06
2020-01-28,75.0,13.0,2614.5,2876.5,3.0900235088988565e-05,2.990059203172223e-05
2020-01-29,30.0,10.0,5324.5,3563.5,1.5011130753453687e-05,2.336066531174808e-05
2020-01-30,37.0,17.0,4244.5,2126.0,1.91993656944696e-05,4.011988766431454e-05
2020-01-31,37.0,11.0,3978.0,2835.5,2.2116065109695684e-05,2.9578400238778362e-05
2020-02-01,31.0,19.0,3906.5,1385.0,1.973225243024967e-05,6.104672644961877e-05
2020-02-02,85.0,8.0,1486.5,3470.5,5.8366253044486755e-05,2.5212255677484825e-05
2020-02-03,58.0,11.0,2493.0,2806.5,2.8846034291966634e-05,3.1024543234111204e-05
2020-02-04,25.0,8.0,5621.5,3927.5,1.3899012002630804e-05,2.2100119064391466e-05
2020-02-05,42.0,14.0,3548.0,2261.0,2.670620881203153e-05,3.9384476889751593e-05
2020-02-06,11.0,6.0,10709.5,5345.0,6.8263367518800335e-06,1.6274408221831037e-05
2020-02-07,28.0,9.0,4514.0,3263.5,1.830510424756869e-05,2.694070351157104e-05
2020-02-08,20.0,8.0,5549.5,3394.0,1.3512700925417322e-05,2.515217063232557e-05
2020-02-09,29.0,11.0,4250.0,2693.5,1.788191768151688e-05,3.2542164290595615e-05
2020-02-10,32.0,13.0,4415.5,2427.5,1.6766347844083444e-05,3.607473575256061e-05
2020-02-11,85.0,15.0,1887.5,2224.0,4.725141309520104e-05,3.929355428535503e-05
2020-02-12,71.0,20.0,2434.0,1767.5,3.3566661024946176e-05,4.9694749998136454e-05
2020-02-13,42.0,11.0,3735.5,3163.5,2.034078564831653e-05,2.733231623986841e-05
2020-02-14,27.0,4.0,5118.5,7930.5,1.605173653036364e-05,1.0919206064527048e-05
2020-02-15,12.0,4.0,8371.5,6689.0,7.0428238906672025e-06,1.3121981944152844e-05
2020-02-16,6.0,3.0,14843.5,9373.5,3.307554620130108e-06,9.562850239390018e-06
2020-02-17,8.0,3.0,12688.0,10247.0,4.5836026199872575e-06,8.50677706572903e-06
2020-02-18,8.0,1.0,13293.0,51175.0,3.998310713723452e-06,2.778719454926392e-06
2020-02-19,11.0,4.0,10729.0,8056.0,6.294778767138967e-06,1.090551191836134e-05
2020-02-20,17.0,0.0,7056.5,110139.5,1.1120712719936624e-05,0.0
2020-02-21,8.0,2.0,12919.0,16374.0,5.016633274701432e-06,5.677817901024277e-06
2020-02-22,102.0,7.0,1331.0,3742.0,7.241134756807909e-05,2.338087444470423e-05
2020-02-23,104.0,9.0,1269.0,2908.5,6.799923370094329e-05,2.954044908047147e-05
2020-02-24,129.0,21.0,1193.0,1429.5,6.866611024051237e-05,6.025254423540956e-05
2020-02-25,436.0,74.0,400.0,439.5,0.00022818181485139127,0.00019351515040572805
2020-02-26,320.0,61.0,534.5,493.0,0.00015802656426545301,0.00016873295382249294
2020-02-27,205.0,38.0,919.0,836.5,9.93755338405202e-05,0.00010198823377850304
2020-02-28,139.0,24.0,1188.5,1321.0,7.63445567154924e-05,6.489643610405061e-05
2020-02-29,150.0,24.0,1275.0,1307.5,7.773438471679809e-05,6.585952164034115e-05
