#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,1.0,1.0,93670.0,51869.0,5.492414152193697e-07,2.7040181710021093e-06
2020-02-29,,,,,,
2020-03-01,1.0,0.0,87953.0,105389.5,6.258053332382109e-07,0.0
2020-03-02,,,,,,
2020-03-03,1.0,1.0,99184.0,54686.0,4.514786829825043e-07,2.39203547867022e-06
2020-03-04,,,,,,
2020-03-05,1.0,0.0,97255.5,113723.0,5.443957452206137e-07,0.0
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,5.0,0.0,22232.0,116431.0,1.809382298595847e-06,0.0
2020-03-14,6.0,3.0,22162.5,14516.0,1.577088893666884e-06,4.762774157187423e-06
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,5.0,3.0,25354.0,14736.5,1.5219226875450109e-06,5.140568855349533e-06
2020-03-18,3.0,1.0,37193.5,66033.0,8.221259299614478e-07,1.7260335920657689e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
