#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,0.0,94536.5,111344.5,5.558989775906004e-07,0.0
2020-02-12,1.0,0.0,95753.0,112322.5,4.727698735907911e-07,0.0
2020-02-13,1.0,0.0,96621.5,113011.0,4.843044201980127e-07,0.0
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,1.0,0.0,80609.5,94879.0,7.099151722360695e-07,0.0
2020-02-23,7.0,0.0,12458.0,93827.0,4.5768714991019525e-06,0.0
2020-02-24,1.0,1.0,89342.0,50226.0,5.322954282210262e-07,2.8691687731147413e-06
2020-02-25,2.0,2.0,42042.5,17156.0,1.0467055727128044e-06,5.230139200154812e-06
2020-02-26,2.0,2.0,41536.5,16698.0,9.876660266590813e-07,5.532227994180097e-06
2020-02-27,10.0,0.0,11204.5,110617.0,4.847587016610742e-06,0.0
2020-02-28,4.0,1.0,22441.0,51869.0,2.1969656608774794e-06,2.7040181710021093e-06
2020-02-29,,,,,,
2020-03-01,2.0,1.0,39089.5,51357.0,1.251610666476422e-06,2.6605438683775743e-06
2020-03-02,1.0,1.0,94842.0,52471.5,5.341338218877357e-07,2.584326576180779e-06
2020-03-03,3.0,0.0,31501.0,115424.5,1.3544360489475129e-06,0.0
2020-03-04,3.0,1.0,29904.5,53778.5,1.5552059222241519e-06,2.568396396026177e-06
2020-03-05,3.0,2.0,29877.5,17073.5,1.6331872356618411e-06,5.262867052083963e-06
2020-03-06,1.0,1.0,96014.0,52830.0,4.990699830865181e-07,2.689119017718605e-06
2020-03-07,4.0,0.0,20760.5,102417.0,2.4818514611900487e-06,0.0
2020-03-08,2.0,0.0,42108.5,102197.5,1.1131494113665912e-06,0.0
2020-03-09,21.0,3.0,6313.5,10651.5,1.1333438392508274e-05,8.151354347524842e-06
2020-03-10,31.0,9.0,4664.5,3792.0,1.6734179183112947e-05,2.2739216558192186e-05
2020-03-11,29.0,6.0,5065.0,5728.5,1.5822007867357016e-05,1.4910055092653568e-05
2020-03-12,181.0,17.0,1221.0,2533.5,8.131049152416742e-05,3.4637679682963354e-05
2020-03-13,190.0,26.0,1462.0,1800.5,6.875652734664219e-05,4.939772770452561e-05
2020-03-14,230.0,37.0,1654.5,1524.0,6.0455074257230556e-05,5.874088127197822e-05
2020-03-15,253.0,27.0,1575.5,2024.0,6.759536824781049e-05,4.2798312161378167e-05
2020-03-16,218.0,50.0,1726.5,1068.0,6.034142729619198e-05,8.341174036928046e-05
2020-03-17,164.0,37.0,1889.5,1378.5,4.991906415147636e-05,6.340034921597757e-05
2020-03-18,198.0,35.0,1755.5,1432.5,5.426031137745555e-05,6.0411175722301905e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
