#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,3.0,0.0,28867.0,109624.5,1.4814990399886218e-06,0.0
2020-02-27,1.0,0.0,93833.5,110617.0,4.847587016610743e-07,0.0
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,2.0,1.0,41716.0,52963.5,1.0911729563694493e-06,2.4850091821089284e-06
2020-03-12,1.0,0.0,96832.0,115061.5,4.4922923494015134e-07,0.0
2020-03-13,34.0,9.0,5821.5,4807.5,1.2303799630451759e-05,1.7099213436181933e-05
2020-03-14,35.0,17.0,6996.5,3072.5,9.199685213056823e-06,2.6989053557395398e-05
2020-03-15,40.0,12.0,6361.5,4279.0,1.0687014742736838e-05,1.902147207172363e-05
2020-03-16,54.0,15.0,5023.0,3360.0,1.4946959055020035e-05,2.5023522110784132e-05
2020-03-17,42.0,9.0,5614.0,5353.0,1.278415057537809e-05,1.54217065660486e-05
2020-03-18,31.0,13.0,7388.5,3739.0,8.495301276268294e-06,2.2438436696854995e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
