covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,4.0,2.0,24032.5,17621.5,1.8910794943631645e-06,4.9694749998136455e-06
2020-02-13,1.0,0.0,96621.5,113011.0,4.843044201980127e-07,0.0
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,89342.0,50226.0,5.322954282210262e-07,2.8691687731147413e-06
2020-02-25,5.0,4.0,19401.0,8288.0,2.616763931782011e-06,1.0460278400309624e-05
2020-02-26,4.0,2.0,22684.0,16698.0,1.9753320533181626e-06,5.532227994180097e-06
2020-02-27,4.0,2.0,22834.5,17097.5,1.939034806644297e-06,5.367801777815948e-06
2020-02-28,1.0,1.0,93670.0,51869.0,5.492414152193697e-07,2.7040181710021093e-06
2020-02-29,2.0,1.0,39439.5,49789.0,1.0364584628906412e-06,2.7441467350142153e-06
2020-03-01,3.0,2.0,27494.5,16454.5,1.8774159997146327e-06,5.321087736755149e-06
2020-03-02,1.0,1.0,94842.0,52471.5,5.341338218877357e-07,2.584326576180779e-06
2020-03-03,4.0,1.0,25012.0,54686.0,1.8059147319300167e-06,2.39203547867022e-06
2020-03-04,9.0,3.0,12703.0,11103.5,4.6656177666724545e-06,7.705189188078531e-06
2020-03-05,1.0,1.0,97255.5,53323.5,5.443957452206137e-07,2.6314335260419817e-06
2020-03-06,4.0,2.0,23139.0,16878.5,1.996279932346073e-06,5.37823803543721e-06
2020-03-07,10.0,0.0,10104.5,102417.0,6.20462865297512e-06,0.0
2020-03-08,25.0,3.0,5414.5,10647.5,1.3914367642082392e-05,8.125457056959453e-06
2020-03-09,63.0,4.0,2489.5,7931.0,3.4000315177524826e-05,1.0868472463366454e-05
2020-03-10,37.0,12.0,4003.0,2863.5,1.997305257339287e-05,3.0318955410922912e-05
2020-03-11,24.0,5.0,5910.0,6808.0,1.3094075476433392e-05,1.242504591054464e-05
2020-03-12,115.0,18.0,1812.0,2406.5,5.166136201811741e-05,3.6675190252549436e-05
2020-03-13,40.0,14.0,5175.5,3225.0,1.4475058388766776e-05,2.659877645628301e-05
2020-03-14,75.0,19.0,4138.0,2778.5,1.9713611170836053e-05,3.016423632885368e-05
2020-03-15,43.0,14.0,6050.0,3701.5,1.14885408484421e-05,2.2191717417010894e-05
2020-03-16,67.0,24.0,4353.0,2168.0,1.8545301049747078e-05,4.003763537725462e-05
2020-03-17,200.0,30.0,1626.0,1682.5,6.087690750180044e-05,5.140568855349533e-05
2020-03-18,346.0,16.0,1075.0,3078.5,9.48185239222203e-05,2.7616537473052306e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
