virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,3.0,2.0,21234.5,12039.5,2.0400128112804547e-06,7.3664282399393e-06
2020-01-02,5.0,0.0,18216.5,98431.5,2.7631942525559547e-06,0.0
2020-01-03,16.0,1.0,9194.0,52681.0,5.556030133129426e-06,2.113092722508664e-06
2020-01-04,9.0,2.0,12449.5,15857.0,3.833051036222758e-06,5.2816018041951765e-06
2020-01-05,2.0,0.0,35354.5,94433.5,1.0688579680154942e-06,0.0
2020-01-06,6.0,2.0,13717.5,13346.0,3.520849886217868e-06,6.715601012712633e-06
2020-01-07,2.0,2.0,36328.5,15148.0,1.1166777496933324e-06,5.7187299844450535e-06
2020-01-08,1.0,1.0,82200.0,46441.0,4.686037809764672e-07,3.0253982180404496e-06
2020-01-09,2.0,1.0,39777.0,50893.0,9.947333840978935e-07,2.5960000830720027e-06
2020-01-10,1.0,0.0,89999.5,105624.5,4.71318390655076e-07,0.0
2020-01-11,1.0,1.0,79718.0,45248.0,5.792209131186008e-07,3.1978305917265724e-06
2020-01-12,,,,,,
2020-01-13,5.0,1.0,18898.0,49530.0,2.5954341123096247e-06,2.7784415165845173e-06
2020-01-14,3.0,2.0,29271.5,16479.0,1.3966031817413687e-06,5.338629253552858e-06
2020-01-15,9.0,4.0,12737.0,7934.0,4.741034177588605e-06,1.080094400250582e-05
2020-01-16,6.0,1.0,16901.0,51480.0,3.2123491266693507e-06,2.6469871991699047e-06
2020-01-17,10.0,7.0,10983.0,4416.0,6.181363683004834e-06,1.9660380962010525e-05
2020-01-18,8.0,2.0,12126.0,14814.0,5.510723523556621e-06,6.315962331600654e-06
2020-01-19,14.0,2.0,8684.0,15428.0,7.961403117685461e-06,5.881436129073998e-06
2020-01-20,13.0,3.0,10114.5,11077.0,6.0782258313376475e-06,7.630869410388156e-06
2020-01-21,25.0,7.0,6652.5,5056.0,1.1891799842933107e-05,1.691834722249077e-05
2020-01-22,19.0,8.0,8437.0,4481.0,8.747540905112661e-06,1.9261420818706688e-05
2020-01-23,36.0,14.0,4655.5,2448.0,1.8368387189274496e-05,3.555104113763332e-05
2020-01-24,43.0,16.0,3695.0,2059.5,2.308027157428385e-05,4.3239269904927656e-05
2020-01-25,54.0,17.0,2908.5,1720.5,3.129493213346245e-05,5.139320944546727e-05
2020-01-26,25.0,12.0,5189.5,2283.5,1.5392041452614678e-05,3.8093182272702746e-05
2020-01-27,22.0,11.0,7690.5,3675.5,8.163044192123923e-06,2.2751763778778392e-05
2020-01-28,20.0,12.0,7555.5,3135.0,8.240062690396949e-06,2.760054649082052e-05
2020-01-29,32.0,15.0,5088.0,2416.0,1.601187280368393e-05,3.504099796762212e-05
2020-01-30,41.0,16.0,3910.5,2257.5,2.127497279657441e-05,3.775989427229604e-05
2020-01-31,144.0,44.0,1167.0,713.5,8.60733344809778e-05,0.00011831360095511345
2020-02-01,81.0,24.0,1716.0,1106.0,5.1558466027426566e-05,7.711165446267635e-05
2020-02-02,41.0,17.0,3071.5,1661.5,2.815313382145832e-05,5.357604331465525e-05
2020-02-03,23.0,9.0,5482.0,3445.0,1.1438944633021247e-05,2.538371719154553e-05
2020-02-04,23.0,12.0,5974.5,2633.0,1.278709104242034e-05,3.315017859658719e-05
2020-02-05,40.0,14.0,3700.0,2261.0,2.543448458288717e-05,3.9384476889751593e-05
2020-02-06,45.0,8.0,3298.5,4041.0,2.792592307587287e-05,2.1699210962441377e-05
2020-02-07,56.0,9.0,2463.5,3263.5,3.661020849513738e-05,2.694070351157104e-05
2020-02-08,11.0,7.0,9045.5,3879.5,7.431985508979527e-06,2.2008149303284874e-05
2020-02-09,13.0,7.0,8221.5,4221.5,8.016032064128256e-06,2.0708650003106297e-05
2020-02-10,41.0,21.0,3520.0,1505.0,2.1481883175231905e-05,5.827457313875176e-05
2020-02-11,101.0,35.0,1612.5,935.5,5.614579673665063e-05,9.168495999916172e-05
2020-02-12,89.0,40.0,1983.0,861.5,4.2076518749580416e-05,9.938949999627292e-05
2020-02-13,121.0,34.0,1475.5,1007.0,5.860083484395955e-05,8.448170474141142e-05
2020-02-14,73.0,21.0,2208.5,1463.5,4.339913950802023e-05,5.732583183876701e-05
2020-02-15,41.0,17.0,3011.5,1546.0,2.4062981626446274e-05,5.5768423262649585e-05
2020-02-16,30.0,8.0,4112.0,3375.0,1.6537773100650542e-05,2.5500933971706712e-05
2020-02-17,17.0,4.0,7191.5,7684.0,9.740155567472922e-06,1.134236942097204e-05
2020-02-18,23.0,12.0,5905.5,2581.0,1.1495143301954925e-05,3.33446334591167e-05
