#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,2.0,2.0,9204.0,6081.5,9.251934810867322e-06,1.5542913985514003e-05
2020-01-23,,,,,,
2020-01-24,1.0,1.0,30496.0,24214.5,4.300964276190722e-06,7.058009782401558e-06
2020-01-25,1.0,1.0,30635.0,24121.0,4.4419372176593664e-06,7.130277296484061e-06
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,3.0,1.0,5683.0,22453.5,1.4545595593654242e-05,7.744613621226438e-06
2020-01-29,1.0,0.0,28506.5,41570.5,4.897903207636811e-06,0.0
2020-01-30,8.0,6.0,2411.0,2040.0,3.9626520048542495e-05,4.574042309891367e-05
2020-01-31,9.0,4.0,1998.5,2981.0,4.591110589651637e-05,2.934315350870758e-05
2020-02-01,5.0,1.0,3629.0,23838.0,2.320530194738894e-05,7.222302470027445e-06
2020-02-02,2.0,2.0,9499.5,6278.5,9.29666110416444e-06,1.4511366027440991e-05
2020-02-03,2.0,1.0,9165.0,22769.5,9.22986044451008e-06,7.408889185244458e-06
2020-02-04,,,,,,
2020-02-05,1.0,0.0,29745.0,43428.5,4.860196449140474e-06,0.0
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,1.0,0.0,32515.5,47181.5,4.1302686739772425e-06,0.0
2020-02-09,2.0,1.0,10253.0,25192.0,8.457446358646471e-06,6.745271564633192e-06
2020-02-10,1.0,0.0,29722.0,43607.0,4.686980038152018e-06,0.0
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,1.0,30662.5,24359.0,4.474112783435045e-06,6.995306149573636e-06
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,1.0,1.0,30179.5,23617.0,4.563688555638209e-06,7.09536885274981e-06
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,31347.5,24766.0,4.250598271706743e-06,6.782235967553782e-06
2020-02-25,13.0,0.0,1665.5,46167.5,5.4589966364182254e-05,0.0
2020-02-26,3.0,2.0,6026.5,6324.0,1.2442763288871192e-05,1.4652014652014651e-05
2020-02-27,3.0,3.0,6054.5,4032.0,1.216485815775388e-05,2.1273578215855907e-05
2020-02-28,2.0,1.0,9699.0,24370.0,8.291564576777817e-06,6.803693044584601e-06
2020-02-29,2.0,1.0,10245.5,25900.0,7.788647267742538e-06,6.5038535332184324e-06
2020-03-01,2.0,0.0,10425.0,48015.5,7.987954165119e-06,0.0
2020-03-02,13.0,8.0,1645.5,1633.0,5.4371238451339835e-05,5.68755420950106e-05
2020-03-03,3.0,2.0,6255.5,6412.5,1.1205653625775991e-05,1.4022197138069565e-05
2020-03-04,1.0,0.0,30433.0,44309.5,3.586723384719124e-06,0.0
2020-03-05,3.0,3.0,6314.5,4138.5,1.3096776446757236e-05,2.1087555530562893e-05
2020-03-06,4.0,2.0,4827.5,6711.0,1.6611088732283234e-05,1.34147159433899e-05
2020-03-07,,,,,,
2020-03-08,4.0,1.0,5664.0,27184.5,1.0293175367402028e-05,5.554537223731205e-06
2020-03-09,11.0,6.0,2229.0,2395.5,3.700464240059207e-05,3.637024913620657e-05
2020-03-10,10.0,4.0,2282.0,3365.5,4.044015059912083e-05,2.514568782885845e-05
2020-03-11,4.0,4.0,5376.0,3376.0,1.5959399288210793e-05,2.4948232417733207e-05
2020-03-12,3.0,3.0,7666.5,5096.0,1.0618717258955118e-05,1.6225512996635912e-05
2020-03-13,16.0,11.0,1745.0,1593.0,5.387876604156073e-05,5.7854543159489207e-05
2020-03-14,6.0,4.0,4189.0,4124.0,1.9233913235817392e-05,1.9672356895898804e-05
2020-03-15,4.0,2.0,6371.0,9201.0,1.1618753830557905e-05,9.06363578685954e-06
2020-03-16,3.0,3.0,8249.0,5831.0,9.26286148316938e-06,1.3411957206915206e-05
2020-03-17,4.0,2.0,6278.5,9416.0,1.2151111219120987e-05,8.545766854388679e-06
2020-03-18,13.0,5.0,2169.0,3715.0,3.947815946747e-05,2.157683510982609e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
