covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,1.0,1.0,31131.5,24555.0,4.336588665891863e-06,6.834522540255338e-06
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,2.0,2.0,9680.0,6442.0,8.364805915590744e-06,1.421888552375265e-05
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,1.0,1.0,34426.5,27088.5,3.7652870654858727e-06,6.0210133365445386e-06
2020-03-08,2.0,1.0,12138.5,27184.5,5.146587683701014e-06,5.554537223731205e-06
2020-03-09,3.0,3.0,7095.5,4578.0,1.0092175200161473e-05,1.8185124568103282e-05
2020-03-10,1.0,1.0,33060.0,25905.0,4.044015059912084e-06,6.286421957214612e-06
2020-03-11,9.0,8.0,2526.5,1806.0,3.590864839847428e-05,4.989646483546642e-05
2020-03-12,25.0,13.0,1098.5,1328.5,8.848931049129267e-05,7.031055631875561e-05
2020-03-13,17.0,8.0,1640.5,2141.0,5.724618891915828e-05,4.207603138871942e-05
2020-03-14,12.0,7.0,2268.5,2514.5,3.846782647163479e-05,3.4426624567822914e-05
2020-03-15,10.0,4.0,2864.0,4384.0,2.9046884576394758e-05,1.812727157371908e-05
2020-03-16,31.0,13.0,1032.5,1605.5,9.57162353260836e-05,5.811848122996589e-05
2020-03-17,11.0,10.0,2574.0,2053.0,3.341555585258272e-05,4.2728834271943387e-05
2020-03-18,4.0,3.0,6135.0,5977.5,1.2147125989990765e-05,1.2946101065895654e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
