virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,1.0,1.0,30427.5,23810.5,4.019438002178536e-06,7.094160796248607e-06
2020-01-06,,,,,,
2020-01-07,1.0,1.0,27697.5,21974.5,4.872938138050337e-06,7.938145966628034e-06
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,1.0,1.0,29502.5,23339.0,5.018493147247607e-06,7.412843492635339e-06
2020-01-20,1.0,1.0,29631.0,23448.0,4.830287836852198e-06,7.199994240004608e-06
2020-01-21,11.0,11.0,1793.0,1213.0,5.183984316091087e-05,8.177952240758913e-05
2020-01-22,6.0,6.0,3200.0,1965.0,2.7755804432601973e-05,4.662874195654201e-05
2020-01-23,7.0,7.0,2823.0,1756.5,3.033665014041535e-05,5.156006010429864e-05
2020-01-24,7.0,6.0,2869.5,2125.0,3.0106749933335052e-05,4.234805869440936e-05
2020-01-25,8.0,6.0,2512.5,2117.5,3.5535497741274925e-05,4.2781663778904355e-05
2020-01-26,17.0,17.0,1431.5,865.0,7.06816622663867e-05,0.00011282262292688432
2020-01-27,10.0,10.0,1911.0,1256.5,4.7638556742284944e-05,7.818975088745368e-05
2020-01-28,8.0,4.0,2278.5,2886.0,3.878825491641131e-05,3.097845448490575e-05
2020-01-29,19.0,15.0,1048.5,861.0,9.30601609450994e-05,0.0001151949867141782
2020-01-30,169.0,104.0,95.0,119.0,0.00083711023602546,0.0007928340003811702
2020-01-31,91.0,43.0,191.0,321.0,0.00046421229295366565,0.0003154389002186065
2020-02-01,34.0,22.0,646.5,639.5,0.00015779605324224482,0.00015889065434060375
2020-02-02,17.0,11.0,1271.0,1236.0,7.902161938539774e-05,7.981251315092548e-05
2020-02-03,13.0,10.0,1611.0,1313.0,5.999409288931552e-05,7.408889185244457e-05
