#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,1.0,1.0,124581.0,87193.0,2.9170116032887555e-07,1.2769924274349052e-06
2020-02-05,,,,,,
2020-02-06,1.0,0.0,126778.5,166522.5,3.003150004039237e-07,0.0
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,1.0,1.0,125614.5,88451.0,3.46619970024305e-07,1.2757673102487491e-06
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,124673.5,88053.5,2.781295343805652e-07,1.2583285621708685e-06
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,1.0,1.0,120496.5,84537.5,3.006629919635789e-07,1.3275223256067108e-06
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,2.0,0.0,52081.5,168257.5,5.855538021472256e-07,0.0
2020-03-05,2.0,0.0,52434.5,169511.0,5.899645844259968e-07,0.0
2020-03-06,1.0,0.0,127836.5,168010.0,3.062105313763214e-07,0.0
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,3.0,1.0,37782.0,97145.0,7.699005827377511e-07,9.322218762643259e-07
2020-03-14,,,,,,
2020-03-15,1.0,0.0,142287.0,184831.0,2.137280976788701e-07,0.0
2020-03-16,2.0,0.0,59529.0,188217.5,4.7097620887229693e-07,0.0
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
