#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,1.0,115793.5,81823.5,3.4589102219098437e-07,1.4067863372910923e-06
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,1.0,1.0,120496.5,84537.5,3.006629919635789e-07,1.3275223256067108e-06
2020-03-01,,,,,,
2020-03-02,2.0,1.0,50847.0,87319.0,5.514763158845308e-07,1.2162476085531392e-06
2020-03-03,1.0,1.0,127678.5,88980.5,2.839381310170039e-07,1.214994489999988e-06
2020-03-04,1.0,1.0,128884.5,89815.5,2.9277690107361287e-07,1.1892543731856438e-06
2020-03-05,,,,,,
2020-03-06,1.0,0.0,127836.5,168010.0,3.062105313763214e-07,0.0
2020-03-07,1.0,0.0,119429.0,156976.0,2.9716860722720005e-07,0.0
2020-03-08,2.0,2.0,53230.0,31866.0,5.817841633114689e-07,2.41612716560498e-06
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,5.0,1.0,23909.0,93669.0,1.4129458621315251e-06,1.0799684217233487e-06
2020-03-12,4.0,1.0,30993.5,99902.0,1.0180399219265184e-06,8.817735640758396e-07
2020-03-13,4.0,2.0,29591.5,32923.5,1.0265341103170013e-06,1.8644437525286519e-06
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,2.0,1.0,58546.0,104128.5,5.319467255354376e-07,8.295361316905198e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
