#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,1.0,0.0,125614.5,165554.5,3.46619970024305e-07,0.0
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,3.0,0.0,33858.5,161915.0,8.325622881475876e-07,0.0
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,1.0,0.0,125656.0,165158.5,2.7169025572030246e-07,0.0
2020-02-22,,,,,,
2020-02-23,1.0,1.0,119441.0,84335.5,2.7323987072475234e-07,1.2886647757658858e-06
2020-02-24,,,,,,
2020-02-25,2.0,0.0,49282.5,161363.0,5.232407859913791e-07,0.0
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,67.0,2.0,2842.0,28972.5,1.9905653146073623e-05,2.502070463308388e-06
2020-02-29,28.0,0.0,5517.0,157647.0,8.41856377498021e-06,0.0
2020-03-01,18.0,1.0,8270.5,85058.0,4.973616346840108e-06,1.2410489345594895e-06
2020-03-02,7.0,1.0,17591.0,87319.0,1.9301671055958578e-06,1.2162476085531392e-06
2020-03-03,1.0,0.0,127678.5,167101.5,2.839381310170039e-07,0.0
2020-03-04,2.0,2.0,52081.5,30012.0,5.855538021472256e-07,2.3785087463712875e-06
2020-03-05,,,,,,
2020-03-06,46.0,0.0,3822.5,168010.0,1.4085684443310784e-05,0.0
2020-03-07,6.0,1.0,18314.5,84356.0,1.7830116433631996e-06,1.3195258152030486e-06
2020-03-08,2.0,1.0,53230.0,86989.5,5.817841633114689e-07,1.20806358280249e-06
2020-03-09,,,,,,
2020-03-10,4.0,3.0,28178.5,20042.0,1.135307671217169e-06,3.4282619054965325e-06
2020-03-11,6.0,2.0,20648.5,31663.0,1.69553503455783e-06,2.1599368434466974e-06
2020-03-12,4.0,2.0,30993.5,34343.5,1.0180399219265184e-06,1.7635471281516792e-06
2020-03-13,6.0,4.0,21365.5,16572.5,1.5398011654755022e-06,3.7288875050573038e-06
2020-03-14,5.0,1.0,24759.0,92676.5,1.2508959542272152e-06,9.718503544824169e-07
2020-03-15,9.0,4.0,17649.0,18052.5,1.923552879109831e-06,3.307447047772765e-06
2020-03-16,17.0,5.0,10602.0,14558.5,4.003297775414524e-06,4.1549842359898085e-06
2020-03-17,18.0,9.0,9956.0,8702.5,4.5423414356928104e-06,7.538704967755284e-06
2020-03-18,8.0,3.0,18119.0,23418.0,2.1277869021417504e-06,2.4886083950715597e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
