#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,125874.5,87914.0,3.208566101434967e-07,1.2839887882099014e-06
2020-02-12,,,,,,
2020-02-13,2.0,2.0,51236.5,30158.5,5.915278424761356e-07,2.4386883270963887e-06
2020-02-14,3.0,3.0,33405.5,19015.0,1.0398599100729152e-06,3.827301930746248e-06
2020-02-15,5.0,2.0,20623.0,27322.0,1.7294551109549218e-06,2.8135726745821846e-06
2020-02-16,8.0,1.0,14254.5,81927.0,2.3992675036311408e-06,1.400917320661569e-06
2020-02-17,15.0,4.0,8951.5,13897.5,4.162811440737939e-06,5.245578305337245e-06
2020-02-18,6.0,0.0,19509.5,164613.0,1.6885189156331526e-06,0.0
2020-02-19,1.0,0.0,128671.5,167776.0,2.5932930698651307e-07,0.0
2020-02-20,4.0,1.0,28388.5,90244.5,9.691044651003676e-07,1.1903755753977937e-06
2020-02-21,4.0,2.0,26637.5,29373.5,1.0867610228812099e-06,2.468824913405966e-06
2020-02-22,17.0,4.0,8024.0,13703.5,5.002619018191877e-06,5.388569765812758e-06
2020-02-23,23.0,7.0,6490.0,8308.0,6.2845170266693045e-06,9.020653430361199e-06
2020-02-24,31.0,5.0,5070.5,11216.0,8.742570225400381e-06,6.468255097631843e-06
2020-02-25,23.0,8.0,6512.0,7111.0,6.01726903890086e-06,1.050818916316722e-05
2020-02-26,32.0,11.0,5042.0,5467.0,8.900145100178086e-06,1.3841614183879553e-05
2020-02-27,39.0,10.0,4431.0,6286.0,1.0943488666333874e-05,1.1843976923195365e-05
2020-02-28,19.0,8.0,7459.5,7348.0,5.644886713065655e-06,1.0008281853233549e-05
2020-02-29,93.0,15.0,2187.5,3960.5,2.796165825261284e-05,1.9912834884100664e-05
2020-03-01,64.0,9.0,3117.0,6613.5,1.768396923320928e-05,1.1169440411035409e-05
2020-03-02,56.0,19.0,3440.5,3464.5,1.5441336844766866e-05,2.310870456250965e-05
2020-03-03,79.0,13.0,2603.5,4857.5,2.2431112350343312e-05,1.579492836999984e-05
2020-03-04,35.0,10.0,4989.0,6296.5,1.0247191537576447e-05,1.189254373185644e-05
2020-03-05,40.0,13.0,4399.0,4897.0,1.1799291688519938e-05,1.5413929212122933e-05
2020-03-06,92.0,6.0,2257.5,10068.5,2.8171368886621568e-05,7.136536210784734e-06
2020-03-07,37.0,15.0,4415.5,3895.0,1.0995238467406399e-05,1.979288722804573e-05
2020-03-08,33.0,7.0,5201.5,8776.0,9.599438694639237e-06,8.45644507961743e-06
2020-03-09,38.0,12.0,4545.5,5109.0,1.1281407587162234e-05,1.4822793503663699e-05
2020-03-10,64.0,16.0,3153.5,4171.0,1.8164922739474704e-05,1.8284063495981506e-05
2020-03-11,120.0,33.0,1896.5,2288.0,3.3910700691156605e-05,3.5638957916870513e-05
2020-03-12,254.0,45.0,1221.5,2070.0,6.464553504233391e-05,3.9679810383412784e-05
2020-03-13,180.0,38.0,1573.5,2249.5,4.6194034964265057e-05,3.5424431298044376e-05
2020-03-14,163.0,33.0,1848.5,2494.5,4.0779208107807215e-05,3.2071061697919755e-05
2020-03-15,152.0,43.0,2213.0,2330.0,3.2486670847188266e-05,3.5555055763557225e-05
2020-03-16,121.0,41.0,2395.5,2370.5,2.849406063677396e-05,3.407087073511643e-05
2020-03-17,290.0,39.0,1132.0,2483.0,7.318216757505083e-05,3.266772152693957e-05
2020-03-18,162.0,39.0,1794.0,2464.5,4.3087684768370455e-05,3.235190913593028e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
