#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,1.0,0.0,119441.0,156418.0,2.7323987072475234e-07,0.0
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,1.0,1.0,127678.5,88980.5,2.839381310170039e-07,1.214994489999988e-06
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,3.0,1.0,35395.0,86989.5,8.726762449672033e-07,1.20806358280249e-06
2020-03-09,1.0,0.0,125226.0,163340.5,2.9687914703058506e-07,0.0
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,74.0,14.0,3291.5,5670.0,1.8833738555640592e-05,1.2344829897061756e-05
2020-03-13,25.0,6.0,7179.5,11455.5,6.415838189481259e-06,5.593331257585957e-06
2020-03-14,32.0,8.0,6192.5,8692.5,8.005734107054178e-06,7.774802835859335e-06
2020-03-15,76.0,3.0,3735.5,23566.5,1.6243335423594133e-05,2.4805852858295742e-06
2020-03-16,45.0,11.0,5087.5,7198.5,1.059696469962668e-05,9.140965319177575e-06
2020-03-17,31.0,7.0,6616.0,10896.5,7.822921361470951e-06,5.8634371971429976e-06
2020-03-18,18.0,3.0,9841.0,23418.0,4.787520529818938e-06,2.4886083950715597e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
