covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,1.0,1.0,128565.5,91364.5,3.0223907775976767e-07,1.204556596693974e-06
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,1.0,115793.5,81823.5,3.4589102219098437e-07,1.4067863372910923e-06
2020-02-16,,,,,,
2020-02-17,1.0,1.0,123176.5,86912.5,2.7752076271586256e-07,1.3113945763343113e-06
2020-02-18,2.0,1.0,51037.0,87981.5,5.628396385443841e-07,1.2502828765008085e-06
2020-02-19,,,,,,
2020-02-20,1.0,1.0,129829.0,90244.5,2.422761162750919e-07,1.1903755753977937e-06
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,2.0,0.0,48637.0,159742.5,5.640367887355085e-07,0.0
2020-02-25,1.0,1.0,122874.5,86301.5,2.6162039299568953e-07,1.3135236453959031e-06
2020-02-26,1.0,1.0,124673.5,88053.5,2.781295343805652e-07,1.2583285621708685e-06
2020-02-27,3.0,2.0,34871.0,30105.5,8.41806820487221e-07,2.3687953846390727e-06
2020-02-28,5.0,5.0,21821.0,11515.5,1.4854965034383304e-06,6.2551761582709675e-06
2020-02-29,5.0,2.0,21590.0,28152.0,1.5033149598178944e-06,2.6550446512134217e-06
2020-03-01,14.0,2.0,10046.0,28765.0,3.8683682697645295e-06,2.4820978691189795e-06
2020-03-02,4.0,2.0,27459.0,29207.5,1.1029526317690615e-06,2.43249521710628e-06
2020-03-03,57.0,0.0,3368.5,167101.5,1.6184473467969227e-05,0.0
2020-03-04,25.0,3.0,6531.0,19683.5,7.319422526840323e-06,3.567763119556932e-06
2020-03-05,13.0,5.0,10928.5,11951.0,3.83476979876898e-06,5.928434312354976e-06
2020-03-06,11.0,5.0,11911.0,11971.0,3.368315845139536e-06,5.9471135089872775e-06
2020-03-07,9.0,6.0,13235.5,9241.5,2.6745174650447997e-06,7.917154891218292e-06
2020-03-08,16.0,4.0,9176.0,14930.0,4.654273306491751e-06,4.83225433120996e-06
2020-03-09,8.0,3.0,15354.5,19039.0,2.3750331762446805e-06,3.7056983759159248e-06
2020-03-10,16.0,6.0,9333.5,10360.0,4.541230684868676e-06,6.856523810993065e-06
2020-03-11,29.0,13.0,5822.0,5251.5,8.195086000362844e-06,1.4039589482403534e-05
2020-03-12,37.0,9.0,5569.5,8326.0,9.416869277820294e-06,7.935962076682556e-06
2020-03-13,16.0,10.0,10010.0,7298.5,4.106136441268005e-06,9.322218762643261e-06
2020-03-14,12.0,4.0,12811.0,16134.0,3.0021502901453167e-06,3.887401417929668e-06
2020-03-15,16.0,11.0,11627.0,7375.0,3.4196495628619215e-06,9.095479381375104e-06
2020-03-16,42.0,15.0,5338.5,5492.5,9.890500386318235e-06,1.2464952707969425e-05
2020-03-17,36.0,17.0,5933.5,4940.0,9.084682871385621e-06,1.4239776050204425e-05
2020-03-18,66.0,20.0,3626.0,4360.5,1.7554241942669446e-05,1.65907226338104e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
