virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,5.0,4.0,18128.0,11752.5,1.5636707985103847e-06,5.9375723641631875e-06
2020-01-02,6.0,4.0,18084.0,13454.5,1.5578022525820572e-06,5.342929234238025e-06
2020-01-03,5.0,5.0,21098.0,10966.0,1.4214794644547687e-06,6.6866463660083e-06
2020-01-04,4.0,3.0,24801.0,17255.5,1.1163595515025499e-06,4.227900762713296e-06
2020-01-05,4.0,4.0,24980.0,12494.0,1.0989340065403057e-06,5.939556107274323e-06
2020-01-06,6.0,5.0,18243.0,10761.0,1.6661501601170304e-06,6.837952826331043e-06
2020-01-07,8.0,5.0,14652.5,11260.5,2.1842001513650704e-06,6.49936436216538e-06
2020-01-08,6.0,2.0,18804.5,28598.0,1.81996151994693e-06,2.570208456756885e-06
2020-01-09,8.0,4.0,14765.5,14090.5,2.565162337901781e-06,5.151041411797431e-06
2020-01-10,6.0,3.0,18301.0,18319.5,1.830124210530169e-06,3.963556419904452e-06
2020-01-11,9.0,6.0,12878.5,8813.0,2.645732066713604e-06,8.539004750532976e-06
2020-01-12,8.0,3.0,14194.5,17192.5,2.226029970154503e-06,4.339304698743771e-06
2020-01-13,8.0,6.0,14206.5,9143.0,2.3721985447154978e-06,8.069678988169851e-06
2020-01-14,19.0,9.0,7686.0,6744.5,5.688748792637921e-06,1.1269101126409265e-05
2020-01-15,5.0,3.0,22709.5,19511.0,1.4399113475381547e-06,3.6811938848007204e-06
2020-01-16,11.0,9.0,11377.0,6465.5,3.2412885949072868e-06,1.1501274085584814e-05
2020-01-17,9.0,7.0,13561.5,8297.5,2.6160068225457933e-06,8.919685874148331e-06
2020-01-18,15.0,12.0,8484.5,4445.0,4.290652213461664e-06,1.7135342071405826e-05
2020-01-19,7.0,4.0,15259.0,12515.5,1.957797712509153e-06,5.9675395685170505e-06
2020-01-20,36.0,17.0,4296.0,3436.5,1.0107391029690461e-05,2.2635068111582888e-05
2020-01-21,50.0,24.0,3337.5,2565.0,1.4239578052823141e-05,3.0918312530032626e-05
2020-01-22,70.0,33.0,2586.5,1915.5,2.004414866916875e-05,4.190971124208953e-05
2020-01-23,55.0,29.0,3029.5,2233.0,1.5994383935589745e-05,3.6509261392463236e-05
2020-01-24,112.0,67.0,1696.0,985.0,3.3572074748224425e-05,8.664244988639493e-05
2020-01-25,266.0,112.0,830.0,503.0,8.686559541140657e-05,0.00016378770773253467
2020-01-26,166.0,87.0,1180.0,677.5,5.476404285319344e-05,0.00012702287579790806
2020-01-27,157.0,89.0,1250.5,686.0,5.232025327001584e-05,0.0001200622704989464
2020-01-28,169.0,96.0,1270.0,657.5,4.920450293989626e-05,0.0001250556888614461
2020-01-29,183.0,82.0,1264.0,847.5,5.068632889998756e-05,0.00010007994190481421
2020-01-30,168.0,74.0,1293.5,941.5,4.834238841900535e-05,9.002520705797624e-05
2020-01-31,138.0,96.0,1528.0,693.0,4.191223032289121e-05,0.00011985587331234191
2020-02-01,107.0,69.0,1780.5,944.5,3.298071706859989e-05,9.345819709656534e-05
2020-02-02,116.0,78.0,1657.0,820.5,3.3243861492316944e-05,0.000105560750888808
2020-02-03,94.0,44.0,2088.0,1515.5,2.637221064775199e-05,5.42589582773274e-05
2020-02-04,106.0,66.0,1847.0,1016.0,3.0920322994860806e-05,8.428150021070375e-05
2020-02-05,81.0,40.0,2227.5,1602.0,2.423860119930205e-05,5.064066774784492e-05
2020-02-06,84.0,57.0,2216.5,1183.5,2.522646003392959e-05,7.090284196005309e-05
2020-02-07,91.0,38.0,2064.5,1690.5,2.9662351174857282e-05,4.876327355554842e-05
2020-02-08,81.0,47.0,2252.0,1333.5,2.682426529662008e-05,6.330205044769367e-05
2020-02-09,44.0,23.0,3826.0,2664.0,1.3345425097285115e-05,3.0089982129167133e-05
2020-02-10,78.0,48.0,2524.0,1335.0,2.443736109083368e-05,6.322561269570303e-05
2020-02-11,83.0,42.0,2352.0,1528.5,2.6631098641910225e-05,5.392752910481586e-05
2020-02-12,59.0,41.0,3114.0,1643.5,1.7832105587826295e-05,4.9386820464452926e-05
2020-02-13,50.0,29.0,3585.0,2325.0,1.4788196061903388e-05,3.536098074289764e-05
2020-02-14,35.0,17.0,4457.5,3558.5,1.2131698950850674e-05,2.1688044274228736e-05
2020-02-15,46.0,31.0,3440.0,1857.5,1.5910987020785282e-05,4.361037645602385e-05
2020-02-16,55.0,29.0,3027.5,2035.5,1.6494964087464096e-05,4.062660229918551e-05
2020-02-17,89.0,50.0,2171.0,1277.5,2.469934788171177e-05,6.556972881671556e-05
2020-02-18,59.0,35.0,3150.5,1912.0,1.6603769337059333e-05,4.375990067752829e-05
2020-02-19,31.0,24.0,5731.5,2753.5,8.039208516581906e-06,2.8696428848998194e-05
2020-02-20,27.0,19.0,6269.0,3485.0,6.541455139427482e-06,2.261713593255808e-05
2020-02-21,48.0,34.0,3634.0,1969.5,1.3041132274574519e-05,4.197002352790142e-05
2020-02-22,64.0,38.0,2892.0,1642.0,1.8833389244957654e-05,5.11914127752212e-05
2020-02-23,168.0,94.0,1373.5,713.0,4.5904298281758396e-05,0.00012113448892199326
2020-02-24,297.0,111.0,864.0,577.5,8.375946312722301e-05,0.0001435952631674269
2020-02-25,438.0,185.0,667.5,342.0,0.00011458973213211204,0.000243001874398242
2020-02-26,430.0,232.0,688.0,299.0,0.00011959569978364304,0.00029193222642364146
2020-02-27,563.0,350.0,594.5,210.0,0.00015797907997810182,0.0004145391923118377
2020-02-28,781.0,393.0,394.0,182.0,0.00023203455383706719,0.0004916568460400982
2020-02-29,415.0,233.0,691.0,279.0,0.00012477514166488524,0.00030931270186636365
2020-03-01,577.0,276.0,553.0,261.5,0.0001594320351181524,0.00034252950593841914
2020-03-02,518.0,254.0,608.0,290.5,0.00014283236581409347,0.00030892689257249747
