#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,38.0,15.0,182100.5,136914.5,1.2564245367518096e-07,1.9264133969876827e-07
2020-01-24,65.0,24.0,121806.5,94375.0,2.1854126850268726e-07,3.128398630355796e-07
2020-01-25,174.0,27.0,58671.0,81517.0,6.081972723505811e-07,3.868057964137945e-07
2020-01-26,133.0,37.0,77178.5,64812.0,3.613504650403885e-07,4.815449335824597e-07
2020-01-27,114.0,17.0,81675.5,117866.0,3.4022697448739986e-07,2.256389204945601e-07
2020-01-28,243.0,41.0,48813.0,63722.5,7.650057507182294e-07,5.227591216239132e-07
2020-01-29,818.0,44.0,21133.5,60976.5,2.521195393789577e-06,5.544113122084143e-07
2020-01-30,383.0,39.0,36176.5,66674.5,1.2011304023246806e-06,4.905386231056295e-07
2020-01-31,185.0,42.0,58225.0,63509.0,5.917864323248692e-07,5.148910664585589e-07
2020-02-01,183.0,36.0,57472.5,67332.0,6.072182884910812e-07,4.903303851583312e-07
2020-02-02,226.0,49.0,50930.0,53642.5,7.330487551570386e-07,6.410042071330007e-07
2020-02-03,205.0,24.0,53372.5,92109.0,6.964005893492114e-07,3.2065766031042577e-07
2020-02-04,255.0,21.0,47417.5,106196.0,8.031910990249014e-07,2.603526762147498e-07
2020-02-05,302.0,28.0,42711.5,87207.0,9.097255974196616e-07,3.3058988203454983e-07
2020-02-06,215.0,32.0,52654.0,77346.0,7.082735798876711e-07,4.0153544645126425e-07
2020-02-07,201.0,25.0,53300.0,90559.0,6.967975662254607e-07,3.3046291919865703e-07
