#coronaviruspandemic,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,6.0,3.0,786055.5,576428.5,1.807401849178136e-08,3.5420344503701773e-08
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,5.0,3.0,858719.0,563496.0,1.7882058823805007e-08,3.898978861335197e-08
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,18.0,5.0,312116.5,358923.0,5.697830145676456e-08,5.84358358277449e-08
2020-03-12,666.0,135.0,24192.5,27317.5,1.8649937519628982e-06,1.5108586586912432e-06
2020-03-13,344.0,106.0,37089.5,32113.5,9.877650453938195e-07,1.2222961250134036e-06
2020-03-14,280.0,51.0,41021.5,52019.5,8.936060422806572e-07,6.50973258631216e-07
2020-03-15,212.0,51.0,52252.0,54197.5,6.275715224170534e-07,6.00358866278079e-07
2020-03-16,181.0,86.0,58760.0,38421.0,5.169895003317046e-07,9.360814726128956e-07
2020-03-17,203.0,98.0,56520.0,36196.5,5.506190597883359e-07,1.0308186806139379e-06
2020-03-18,468.0,86.0,31145.5,40216.0,1.2978216496218314e-06,8.886744680435969e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
