#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,12.0,7.0,440647.0,260231.0,3.7797228189407126e-08,8.67842254049166e-08
2020-02-05,17.0,14.0,342548.5,148943.0,5.1209719060047165e-08,1.6529494101727492e-07
2020-02-06,29.0,11.0,221955.5,178356.0,9.55345758918254e-08,1.3802780971762205e-07
2020-02-07,30.0,16.0,209468.0,128104.5,1.0399963675006877e-07,2.114962682871405e-07
2020-02-08,23.0,8.0,251145.5,222029.0,8.46361330360196e-08,1.1276877609636868e-07
2020-02-09,22.0,5.0,270462.0,338793.0,7.615647202900171e-08,6.802046621554043e-08
2020-02-10,22.0,12.0,271101.0,161449.5,7.346712038802555e-08,1.5862358088900453e-07
2020-02-11,48.0,25.0,153041.5,92933.5,1.5776199932097266e-07,3.1557651600749247e-07
2020-02-12,57.0,21.0,133243.5,107196.5,1.910153055638164e-07,2.609891306602437e-07
2020-02-13,65.0,20.0,120917.0,109791.5,2.1776574927629567e-07,2.5295039762853954e-07
2020-02-14,45.0,9.0,154608.0,205114.5,1.5793066302015762e-07,1.1937123193100873e-07
2020-02-15,44.0,10.0,151900.0,177557.0,1.6394475401602426e-07,1.469365723012571e-07
2020-02-16,48.0,15.0,146991.5,129064.5,1.7124133370799035e-07,2.1379596880574285e-07
2020-02-17,59.0,9.0,126512.5,201128.5,2.0494793929814414e-07,1.2043291135469992e-07
2020-02-18,23.0,9.0,260985.5,207941.0,7.752940562263205e-08,1.1638998611596785e-07
2020-02-19,9.0,2.0,546362.5,871956.5,2.9423613672032564e-08,2.5020274866985023e-08
2020-02-20,5.0,1.0,897120.0,2814995.5,1.6278271185742644e-08,1.2627669527221064e-08
2020-02-21,,,,,,
2020-02-22,16.0,12.0,331802.0,156746.5,5.8807957194423055e-08,1.6852028920384744e-07
2020-02-23,8.0,2.0,570454.5,815458.0,2.9205557791362684e-08,2.7674120515758155e-08
2020-02-24,,,,,,
2020-02-25,7.0,4.0,671771.5,433254.0,2.258313695548245e-08,4.9917763604322106e-08
2020-02-26,20.0,6.0,291995.0,295178.0,6.598152136688348e-08,7.727687920723504e-08
2020-02-27,5.0,1.0,881487.0,2815192.0,1.6354552408887698e-08,1.2716851406274572e-08
2020-02-28,11.0,6.0,455069.0,293839.0,3.74267154290042e-08,7.851360554419116e-08
2020-02-29,45.0,5.0,152586.0,334927.5,1.6163171192924502e-07,7.007115501564143e-08
2020-03-01,161.0,13.0,60854.5,146409.5,5.684768399269322e-07,1.7987471477058932e-07
2020-03-02,61.0,29.0,123991.5,80550.5,2.0524431388124628e-07,3.763263134287944e-07
2020-03-03,58.0,12.0,129854.5,164226.0,1.929583259020813e-07,1.5172199917402544e-07
2020-03-04,26.0,12.0,230556.5,164290.0,8.853360881360249e-08,1.4945526917130615e-07
2020-03-05,20.0,12.0,285277.5,165469.0,6.856662193368825e-08,1.499256162795531e-07
2020-03-06,28.0,10.0,215498.5,189274.5,1.0013952941330805e-07,1.299659620445065e-07
2020-03-07,18.0,6.0,294019.5,282419.5,6.856285155459296e-08,8.515786302076712e-08
2020-03-08,16.0,3.0,332403.0,549337.0,5.7680015262997224e-08,4.088123814989177e-08
2020-03-09,12.0,9.0,417124.0,203057.5,4.1324343552988127e-08,1.1693414421012473e-07
2020-03-10,24.0,13.0,247105.0,154506.5,7.96014020818493e-08,1.6054875465541988e-07
2020-03-11,117.0,24.0,78471.5,97179.0,3.703589594689696e-07,2.804920119731755e-07
2020-03-12,115.0,29.0,81592.0,85158.5,3.220334556692693e-07,3.245548229781189e-07
2020-03-13,76.0,25.0,107342.0,93064.5,2.1822716119165784e-07,2.882773879748593e-07
2020-03-14,45.0,20.0,150370.5,106011.0,1.436152567951056e-07,2.5528363083577104e-07
2020-03-15,32.0,15.0,201948.0,137778.5,9.47277769686118e-08,1.765761371406115e-07
2020-03-16,51.0,23.0,144091.5,102056.0,1.4567107467909904e-07,2.503473705825186e-07
2020-03-17,104.0,26.0,89528.5,96011.0,2.8209055279796517e-07,2.73482507101657e-07
2020-03-18,123.0,33.0,78543.5,81440.5,3.4109415150317364e-07,3.410029935516127e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
