#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,12.0,8.0,432950.5,232913.0,4.0202907558700754e-08,1.0118015905141578e-07
2020-02-14,16.0,8.0,339777.5,226998.5,5.615312462938938e-08,1.0610776171645221e-07
2020-02-15,25.0,15.0,231401.5,127471.5,9.31504284181956e-08,2.2040485845188565e-07
2020-02-16,6.0,5.0,729209.0,326531.5,2.1405166713498794e-08,7.126532293524763e-08
2020-02-17,21.0,6.0,274392.5,285688.5,7.294757161459369e-08,8.028860756979994e-08
2020-02-18,15.0,4.0,362656.0,425975.0,5.0562655840846986e-08,5.1728882718207946e-08
2020-02-19,16.0,6.0,346908.5,298086.0,5.2308646528057884e-08,7.506082460095508e-08
2020-02-20,12.0,2.0,437646.5,872888.0,3.906785084578233e-08,2.525533905444212e-08
2020-02-21,23.0,8.0,259854.0,231146.5,7.614178328360116e-08,1.0245301459927284e-07
2020-02-22,29.0,18.0,210541.5,113256.0,1.065894224148918e-07,2.5278043380577106e-07
2020-02-23,43.0,19.0,155728.0,107874.0,1.5697987312857448e-07,2.629041448997025e-07
2020-02-24,41.0,14.0,167212.5,143265.5,1.3723607423463432e-07,1.8227298368583887e-07
2020-02-25,107.0,22.0,85457.0,103163.0,3.451993791766605e-07,2.745476998237716e-07
2020-02-26,127.0,16.0,75566.0,130156.5,4.1898266067971003e-07,2.0607167788596013e-07
2020-02-27,99.0,17.0,90213.0,124646.5,3.238201376959765e-07,2.1618647390666777e-07
2020-02-28,68.0,34.0,114719.0,71858.5,2.3136514992475324e-07,4.4491043141708316e-07
2020-02-29,119.0,42.0,75088.5,58856.0,4.2742608265733683e-07,5.885977021313879e-07
2020-03-01,178.0,49.0,56635.0,52700.5,6.285023447639371e-07,6.779893095199136e-07
2020-03-02,99.0,49.0,87309.0,54398.5,3.331014274466128e-07,6.358617020003768e-07
2020-03-03,86.0,40.0,98007.5,64742.0,2.861106211651549e-07,5.057399972467514e-07
2020-03-04,131.0,57.0,70533.0,49787.0,4.460731828685356e-07,7.099125285637042e-07
2020-03-05,119.0,40.0,76361.5,64994.5,4.07971400505445e-07,4.997520542651771e-07
2020-03-06,116.0,59.0,75852.0,47832.5,4.148637647122762e-07,7.667991760625884e-07
2020-03-07,111.0,52.0,76242.0,50189.0,4.228042512533232e-07,7.380348128466484e-07
2020-03-08,182.0,75.0,55075.0,38456.5,6.561101736165935e-07,1.0220309537472945e-06
2020-03-09,143.0,65.0,65832.0,44030.5,4.924484273397753e-07,8.445243748509006e-07
2020-03-10,184.0,66.0,56150.0,44890.0,6.102774159608447e-07,8.150936774813625e-07
2020-03-11,235.0,113.0,47878.5,30879.5,7.438833801299815e-07,1.3206498897070348e-06
2020-03-12,571.0,181.0,26891.0,21934.0,1.598966114670894e-06,2.0256697572082594e-06
2020-03-13,465.0,233.0,30154.5,17747.5,1.335205657291064e-06,2.686745255925689e-06
2020-03-14,1205.0,207.0,14708.0,18280.5,3.845697431957827e-06,2.6421855791502304e-06
2020-03-15,637.0,198.0,24103.5,19854.0,1.8856748102814285e-06,2.330805010256072e-06
2020-03-16,858.0,332.0,20133.0,14225.5,2.450701609307196e-06,3.613709871017225e-06
2020-03-17,742.0,321.0,23104.5,15038.5,2.012607597847021e-06,3.3764571069089187e-06
2020-03-18,826.0,290.0,20877.0,16378.5,2.2905997491188734e-06,2.996692973635385e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
