#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,814.0,121.0,20280.0,28780.0,2.675380571818161e-06,1.527390337476264e-06
2020-02-12,781.0,101.0,20535.0,33190.0,2.617244800795449e-06,1.2552334379373626e-06
2020-02-13,722.0,120.0,21963.5,28775.0,2.418874938115162e-06,1.5177023857712366e-06
2020-02-14,483.0,109.0,28048.5,29668.0,1.695122449749692e-06,1.4457182533866612e-06
2020-02-15,606.0,129.0,23240.5,24875.0,2.257966384857061e-06,1.8954817826862166e-06
2020-02-16,692.0,120.0,21820.5,26732.5,2.4687292276235285e-06,1.7103677504459428e-06
2020-02-17,993.0,183.0,16873.0,20113.5,3.4493780292043588e-06,2.448802530878898e-06
2020-02-18,543.0,195.0,26700.0,19627.0,1.8303681414386608e-06,2.5217830325126375e-06
2020-02-19,643.0,169.0,24026.0,22288.0,2.102153732346326e-06,2.1142132262602347e-06
2020-02-20,779.0,160.0,20967.0,23410.0,2.5361546507387038e-06,2.02042712435537e-06
2020-02-21,1093.0,203.0,16130.5,19254.5,3.6183899621293938e-06,2.599745245456548e-06
2020-02-22,2370.0,251.0,8247.0,15284.5,8.710928659423916e-06,3.5248827158471414e-06
2020-02-23,1876.0,252.0,9924.5,15329.5,6.848703302074552e-06,3.4869391849855278e-06
2020-02-24,1211.0,277.0,15033.5,15089.5,4.053485021905907e-06,3.6064011772126686e-06
2020-02-25,1240.0,333.0,15200.5,13516.0,4.000441403542607e-06,4.155653820059815e-06
2020-02-26,1349.0,335.0,13972.0,13225.0,4.450453616196292e-06,4.31462575573729e-06
2020-02-27,2729.0,372.0,8220.5,12303.0,8.926314704770907e-06,4.730668723134142e-06
2020-02-28,2568.0,434.0,8192.5,10630.0,8.737436838334799e-06,5.679150801029826e-06
2020-02-29,1416.0,413.0,12532.0,10392.5,5.086011202040242e-06,5.7878774042919814e-06
2020-03-01,1769.0,443.0,10584.5,9896.0,6.2461834150977824e-06,6.129576818720851e-06
2020-03-02,2085.0,601.0,9621.0,8226.0,7.0153179416786624e-06,7.79903842657605e-06
2020-03-03,2018.0,538.0,9927.0,9143.5,6.713618994317241e-06,6.802202962968807e-06
2020-03-04,2118.0,659.0,9320.5,7906.5,7.212083979508078e-06,8.207585198657563e-06
2020-03-05,2265.0,586.0,8867.5,8678.0,7.765169933990193e-06,7.321367594984842e-06
2020-03-06,2298.0,714.0,8609.5,7194.5,8.218594235420781e-06,9.279569689977764e-06
2020-03-07,1921.0,572.0,9410.0,7998.5,7.3171798797985034e-06,8.118382941313133e-06
2020-03-08,2246.0,653.0,8626.5,7378.0,8.096832142543237e-06,8.898482837293109e-06
2020-03-09,4717.0,870.0,4935.0,6120.0,1.624391071162042e-05,1.1303633940312054e-05
2020-03-10,3831.0,1080.0,5939.0,5293.0,1.2706373807315195e-05,1.3337896540604115e-05
2020-03-11,7945.0,1595.0,3348.0,4066.5,2.5149589170777465e-05,1.8641031629050626e-05
2020-03-12,8991.0,2139.0,3410.0,3355.5,2.5177415651499137e-05,2.393871608104125e-05
2020-03-13,22089.0,2365.0,1466.0,3032.5,6.342657583634906e-05,2.727104090242169e-05
2020-03-14,22513.0,1992.0,1304.0,3160.0,7.184911724951585e-05,2.5426249631242794e-05
2020-03-15,10357.0,2330.0,2835.0,2980.5,3.065923706449726e-05,2.742815996917499e-05
2020-03-16,13374.0,3503.0,2330.0,2274.0,3.820009711290727e-05,3.812899300654621e-05
2020-03-17,19671.0,3420.0,1717.0,2411.0,5.33558006162382e-05,3.5973468241833344e-05
2020-03-18,14156.0,3750.0,2273.0,2245.0,3.925633177787745e-05,3.875034017631963e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
