#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,5.0,1.0,859441.0,2654755.0,1.7368469432046116e-08,1.3381434594966656e-08
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,15.0,4.0,367152.0,431856.5,4.883481355722793e-08,5.051067810888424e-08
2020-02-21,10.0,5.0,499049.0,351148.0,3.310512316678312e-08,6.403313412454553e-08
2020-02-22,6.0,3.0,728246.0,539894.5,2.2052983947908652e-08,4.213007230096186e-08
2020-02-23,49.0,20.0,141423.0,103644.5,1.7888404147209648e-07,2.767412051575816e-07
2020-02-24,163.0,14.0,61873.0,143265.5,5.455970756157415e-07,1.8227298368583887e-07
2020-02-25,157.0,28.0,65199.5,86115.5,5.065075002872496e-07,3.4942434523025474e-07
2020-02-26,41.0,16.0,170541.0,130156.5,1.3526211880211115e-07,2.0607167788596013e-07
2020-02-27,42.0,11.0,166332.5,176586.5,1.3737824023465669e-07,1.3988536546902026e-07
2020-02-28,29.0,10.0,214213.0,189096.5,9.867043158555652e-08,1.3085600924031857e-07
2020-02-29,221.0,13.0,48308.0,147089.0,7.937912963636254e-07,1.821850030406677e-07
2020-03-01,55.0,19.0,131603.5,108143.0,1.942001627079581e-07,2.6289381389547683e-07
2020-03-02,43.0,15.0,160245.0,134552.5,1.4468041798186214e-07,1.9465154142868678e-07
2020-03-03,114.0,43.0,79875.5,61369.5,3.792629164282287e-07,5.436704970402579e-07
2020-03-04,227.0,61.0,47598.0,47306.5,7.729665077187601e-07,7.597309516208062e-07
2020-03-05,108.0,46.0,81873.5,58720.5,3.7025975844191647e-07,5.747148624049535e-07
2020-03-06,65.0,23.0,115211.0,97012.5,2.324667647094651e-07,2.9892171270236496e-07
2020-03-07,56.0,27.0,125677.0,82085.0,2.1330664928095587e-07,3.832103835934521e-07
2020-03-08,52.0,17.0,135991.5,118622.0,1.8746004960474106e-07,2.316603495160533e-07
2020-03-09,59.0,28.0,124566.0,82604.0,2.031780224688583e-07,3.637951153203881e-07
2020-03-10,85.0,38.0,97199.5,67657.0,2.819216323732163e-07,4.692963597619965e-07
2020-03-11,89.0,43.0,95437.5,62888.5,2.8172604609178033e-07,5.025481881186062e-07
2020-03-12,793.0,330.0,21409.0,14089.5,2.220630698658527e-06,3.693210054578593e-06
2020-03-13,1062.0,472.0,16998.5,10577.0,3.0494374366518493e-06,5.442677084965344e-06
2020-03-14,856.0,404.0,18696.5,11132.0,2.7318813292580088e-06,5.156729342882575e-06
2020-03-15,934.0,405.0,18457.0,11628.5,2.764866990271357e-06,4.76755570279651e-06
2020-03-16,1165.0,496.0,16217.0,10629.5,3.3275843529637334e-06,5.398795469953444e-06
2020-03-17,1086.0,562.0,17666.5,9974.5,2.945676349409521e-06,5.9114295765819705e-06
2020-03-18,1534.0,665.0,13511.0,8882.0,4.253970962649336e-06,6.871726991267348e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
