#covidー19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,35.0,9.0,191945.0,207700.0,1.1546766239204607e-07,1.1591531881085255e-07
2020-02-27,18.0,6.0,314850.5,295942.5,5.887638867199572e-08,7.630110843764744e-08
2020-02-28,11.0,6.0,455069.0,293839.0,3.74267154290042e-08,7.851360554419116e-08
2020-02-29,5.0,5.0,854123.5,334927.5,1.7959079103249446e-08,7.007115501564143e-08
2020-03-01,6.0,2.0,730940.0,821672.5,2.118547229541361e-08,2.7673033041629125e-08
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,6.0,5.0,741994.5,350620.5,2.043083280313904e-08,6.227302882137756e-08
2020-03-05,12.0,12.0,425832.0,165469.0,4.113997316021295e-08,1.499256162795531e-07
2020-03-06,15.0,13.0,348730.5,152370.5,5.3646176471415015e-08,1.6895575065785848e-07
2020-03-07,8.0,6.0,559810.5,282419.5,3.047237846870798e-08,8.515786302076712e-08
2020-03-08,18.0,11.0,303396.5,169035.0,6.489001717087189e-08,1.4989787321626982e-07
2020-03-09,6.0,5.0,733753.0,340570.5,2.0662171776494063e-08,6.49634134500693e-08
2020-03-10,6.0,5.0,746979.5,351702.0,1.9900350520462325e-08,6.174952102131534e-08
2020-03-11,19.0,9.0,299201.0,213411.0,6.014376264880702e-08,1.0518450448994082e-07
2020-03-12,17.0,7.0,330790.5,265802.5,4.7604945620674596e-08,7.834081933954593e-08
2020-03-13,13.0,8.0,404197.0,233425.5,3.7328330203836203e-08,9.224876415195498e-08
2020-03-14,49.0,32.0,141275.5,73726.5,1.56381057399115e-07,4.084538093372337e-07
2020-03-15,181.0,109.0,58372.5,31055.0,5.358039884787104e-07,1.2831199298884436e-06
2020-03-16,629.0,183.0,24765.0,22178.0,1.7966099210422212e-06,1.9918942963739523e-06
2020-03-17,355.0,41.0,38459.5,68116.0,9.62905252339208e-07,4.312608765833822e-07
2020-03-18,78.0,24.0,108603.5,103291.5,2.1630360827030524e-07,2.4800217712844556e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
