covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,45.0,29.0,160375.5,83107.5,1.4790187436341185e-07,3.6606875856869135e-07
2020-02-12,227.0,40.0,49516.5,65967.5,7.607100765436197e-07,4.971221536385596e-07
2020-02-13,1199.0,30.0,15150.0,80755.5,4.016940513573517e-06,3.794255964428092e-07
2020-02-14,211.0,32.0,50615.5,74290.0,7.405193310500724e-07,4.2443104686580884e-07
2020-02-15,106.0,24.0,80298.5,88182.0,3.9495781649314926e-07,3.526477735230171e-07
2020-02-16,93.0,27.0,91326.0,81561.0,3.317800840592313e-07,3.848327438503371e-07
2020-02-17,70.0,32.0,111936.0,74098.5,2.431585720486457e-07,4.28205907038933e-07
2020-02-18,74.0,35.0,110505.0,70985.0,2.494424354815118e-07,4.526277237843194e-07
2020-02-19,59.0,35.0,130249.5,71803.0,1.9288813407221343e-07,4.3785481017223795e-07
2020-02-20,258.0,35.0,45717.5,72209.0,8.399587931843204e-07,4.4196843345273716e-07
2020-02-21,183.0,46.0,57200.0,58240.0,6.05823753952131e-07,5.891048339458188e-07
2020-02-22,199.0,57.0,51660.5,46878.5,7.314239676056369e-07,8.004713737182752e-07
2020-02-23,318.0,78.0,36984.0,37120.0,1.1609209222066672e-06,1.079290700114568e-06
2020-02-24,334.0,86.0,37457.0,36392.5,1.1179719218138505e-06,1.1196768997844387e-06
2020-02-25,736.0,177.0,22133.0,21863.0,2.3744555427478697e-06,2.208861039491253e-06
2020-02-26,1146.0,226.0,15719.5,17780.5,3.7807411743224237e-06,2.9107624501391867e-06
2020-02-27,904.0,250.0,19035.5,16620.0,2.9569030755268963e-06,3.1792128515686434e-06
2020-02-28,766.0,303.0,20521.0,13988.5,2.606260365328838e-06,3.964937079981653e-06
2020-02-29,631.0,256.0,22872.0,15006.0,2.26643578283008e-06,3.5876431368008417e-06
2020-03-01,699.0,242.0,21440.0,15776.5,2.468107522415686e-06,3.348436998037124e-06
2020-03-02,1540.0,362.0,12191.5,12189.0,5.1815777602806435e-06,4.6975905331456405e-06
2020-03-03,1237.0,349.0,14386.5,12691.5,4.1153353300150775e-06,4.412581475977906e-06
2020-03-04,1400.0,373.0,12717.5,12224.0,4.767194320732442e-06,4.645567950074767e-06
2020-03-05,1452.0,406.0,12525.5,11536.0,4.977936752385767e-06,5.0724833507915465e-06
2020-03-06,2071.0,529.0,9342.5,9127.0,7.406748764820032e-06,6.875199392154393e-06
2020-03-07,1349.0,498.0,12372.5,8934.5,5.138404819285883e-06,7.068102630723671e-06
2020-03-08,2267.0,510.0,8564.5,9013.0,8.17253716257592e-06,6.949810485481601e-06
2020-03-09,4643.0,986.0,5001.5,5542.0,1.5989077259710323e-05,1.2810785132353665e-05
2020-03-10,5569.0,1058.0,4389.0,5381.5,1.8470842008075786e-05,1.3066198648110326e-05
2020-03-11,7911.0,1650.0,3366.0,3966.5,2.504196349024802e-05,1.928382582315582e-05
2020-03-12,23711.0,2853.0,1419.0,2651.0,6.639769797716563e-05,3.192947965367493e-05
2020-03-13,18814.0,2738.0,1697.0,2685.5,5.402270803499802e-05,3.157213953100659e-05
2020-03-14,25627.0,2357.0,1170.0,2768.0,8.178729301973714e-05,3.0085175893995618e-05
2020-03-15,17299.0,2496.0,1769.0,2806.0,5.120924418062549e-05,2.9382269220197755e-05
2020-03-16,24185.0,3091.0,1324.0,2533.5,6.907950864929432e-05,3.364450967263326e-05
2020-03-17,28717.0,3001.0,1216.0,2674.5,7.789225389133813e-05,3.156619245431049e-05
2020-03-18,25437.0,2987.0,1321.0,2721.0,7.053993440476608e-05,3.086593762844446e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
