virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,1068.0,307.0,14826.5,11938.0,3.91871609739555e-06,4.470897204359629e-06
2020-01-02,1381.0,348.0,12996.0,11844.0,4.7255461158123906e-06,4.793715802244456e-06
2020-01-03,894.0,405.0,19161.0,10929.5,2.6684233448741542e-06,5.28392505922595e-06
2020-01-04,1224.0,381.0,15275.5,11234.0,3.7765130072533827e-06,5.180774913931826e-06
2020-01-05,953.0,375.0,19083.0,11615.0,2.829844945164078e-06,4.989376021849156e-06
2020-01-06,926.0,389.0,18978.0,11337.0,2.9168569579836712e-06,5.149854272362792e-06
2020-01-07,921.0,374.0,19714.0,12119.5,2.8049477524118118e-06,4.760961298680256e-06
2020-01-08,1164.0,449.0,15947.5,10321.5,3.692805919473983e-06,5.843975105707292e-06
2020-01-09,1431.0,482.0,13631.5,10006.0,4.518583213421681e-06,6.063268699350242e-06
2020-01-10,981.0,384.0,17404.5,11588.0,3.3131112975301917e-06,5.033251177741454e-06
2020-01-11,957.0,402.0,17941.5,10761.0,3.207189197771221e-06,5.541029955345501e-06
2020-01-12,973.0,336.0,17427.0,12207.5,3.3464949178522013e-06,4.665627462949676e-06
2020-01-13,1131.0,387.0,16471.0,11819.5,3.5853956279603286e-06,4.945586725176239e-06
2020-01-14,1215.0,509.0,15127.0,9515.5,3.9827421586887325e-06,6.524962931416384e-06
2020-01-15,1269.0,505.0,14506.5,9587.0,4.14688233709583e-06,6.480651021819004e-06
2020-01-16,1478.0,556.0,12938.5,8951.5,4.877604887695391e-06,7.046436561901152e-06
2020-01-17,1816.0,634.0,10817.5,7741.5,6.103468792552347e-06,8.430675947927784e-06
2020-01-18,3352.0,616.0,6556.0,7501.5,1.1644618081417647e-05,8.809617081412759e-06
2020-01-19,2863.0,667.0,7460.5,7097.5,9.99045560794091e-06,9.405190776962528e-06
2020-01-20,4825.0,1384.0,4917.0,4075.5,1.650708540212444e-05,1.8849299307261012e-05
2020-01-21,15105.0,2776.0,1857.0,2411.5,4.833079311100266e-05,3.522493474663317e-05
2020-01-22,18359.0,3259.0,1503.0,2111.0,6.007547919986909e-05,4.127358191875171e-05
2020-01-23,24852.0,5020.0,1127.0,1357.0,8.217016470356835e-05,6.447063501918778e-05
2020-01-24,32467.0,6233.0,850.0,1123.0,0.00010915968253041148,8.124711942919864e-05
2020-01-25,61986.0,8209.0,434.0,795.0,0.00021666503519496053,0.00011760328825040146
2020-01-26,55150.0,8856.0,661.0,838.0,0.00014983818155622132,0.0001152584305893584
2020-01-27,41765.0,7861.0,767.0,891.0,0.00012464543499531803,0.00010433809141221984
2020-01-28,50304.0,8599.0,572.0,838.0,0.00015836563491411447,0.00010963916309375684
