#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,1.0,0.0,67455.0,96828.0,2.974605790367632e-06,0.0
2020-01-21,,,,,,
2020-01-22,4.0,2.0,9483.0,13101.5,1.0769073375081442e-05,8.924189014323324e-06
2020-01-23,,,,,,
2020-01-24,7.0,6.0,5271.0,3549.0,1.7377833828187838e-05,2.5724465252678563e-05
2020-01-25,1.0,0.0,66063.0,95849.5,2.573015754575465e-06,0.0
2020-01-26,,,,,,
2020-01-27,1.0,1.0,69615.5,51814.5,2.2916384986101207e-06,4.459646885159633e-06
2020-01-28,2.0,2.0,23401.0,13940.0,4.8580006412560835e-06,8.413259296651523e-06
2020-01-29,6.0,4.0,6398.5,5889.0,1.4433034328972152e-05,1.6639558053338103e-05
2020-01-30,6.0,3.0,6952.5,8414.5,1.4308130356606302e-05,1.2325694142008433e-05
2020-01-31,5.0,5.0,8212.0,4453.5,1.2083365555641485e-05,2.0703590830793688e-05
2020-02-01,6.0,5.0,6181.0,4271.0,1.467818088411576e-05,2.2084220382852044e-05
2020-02-02,1.0,1.0,66588.0,51422.5,2.594545228112417e-06,4.467117547731151e-06
2020-02-03,3.0,3.0,13183.5,7411.5,8.274104535036696e-06,1.367147446852143e-05
2020-02-04,4.0,1.0,9768.0,53193.0,9.57657187456606e-06,4.425189951278659e-06
2020-02-05,4.0,3.0,10188.0,8035.0,9.92871184892472e-06,1.278734223616516e-05
2020-02-06,3.0,1.0,13887.0,53911.5,7.777581897937386e-06,4.3033889187735325e-06
2020-02-07,3.0,2.0,13767.0,14011.0,7.62479889592912e-06,8.448193565010962e-06
