#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,70254.0,53575.0,2.669072390581377e-06,4.277873554613473e-06
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,1.0,0.0,73458.5,104375.0,2.5850213522763697e-06,0.0
2020-02-29,1.0,0.0,68890.0,99785.5,2.7028926356987247e-06,0.0
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,1.0,0.0,73114.5,103030.0,2.5023522110784136e-06,0.0
2020-03-04,5.0,0.0,8262.5,105292.5,1.2573934736249145e-05,0.0
2020-03-05,1.0,1.0,75088.5,55951.0,2.33969027180182e-06,3.996323382488111e-06
2020-03-06,1.0,1.0,73860.0,55534.5,2.464893750754873e-06,4.1304392722166e-06
2020-03-07,1.0,1.0,68647.5,53336.5,2.7099463159634806e-06,4.3274119912586265e-06
2020-03-08,4.0,2.0,9488.5,14650.0,1.0565435705361694e-05,8.799873281824741e-06
2020-03-09,1.0,0.0,71087.5,101087.5,2.600448837469347e-06,0.0
2020-03-10,3.0,2.0,14779.5,14238.0,6.806610580195488e-06,8.204690621628385e-06
2020-03-11,11.0,2.0,3675.0,14955.0,2.3782549662287803e-05,7.762347955009431e-06
2020-03-12,8.0,4.0,6152.5,6966.0,1.5864139509242845e-05,1.417886639963135e-05
2020-03-13,6.0,3.0,8916.5,9817.5,1.101048748933359e-05,1.0477750496820002e-05
2020-03-14,8.0,4.0,6068.5,6705.0,1.6804710360313995e-05,1.4671630568342291e-05
2020-03-15,8.0,5.0,5862.5,5217.0,1.6575123640062902e-05,1.8225758829468865e-05
2020-03-16,7.0,4.0,7490.0,7268.5,1.3003176490256905e-05,1.3239158783850875e-05
2020-03-17,2.0,0.0,28803.5,121799.0,3.6140158763717454e-06,0.0
2020-03-18,1.0,1.0,89090.0,66948.0,1.73533382616814e-06,3.252646027543406e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
