#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,1.0,1.0,76756.5,57176.0,2.349050044162141e-06,4.001168341155617e-06
2020-02-13,,,,,,
2020-02-14,1.0,1.0,73075.5,54946.0,2.661832778341199e-06,4.2655382896044575e-06
2020-02-15,,,,,,
2020-02-16,2.0,1.0,19921.0,51081.0,5.748464441436081e-06,4.562813978636905e-06
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,1.0,1.0,70139.5,52742.5,2.708771815771012e-06,4.454481876940484e-06
2020-02-20,,,,,,
2020-02-21,2.0,1.0,22602.5,54769.5,5.330504612219116e-06,4.149360376098024e-06
2020-02-22,,,,,,
2020-02-23,5.0,5.0,6638.5,3995.0,1.5038091485733362e-05,2.290457495980247e-05
2020-02-24,1.0,0.0,70254.0,101093.5,2.669072390581377e-06,0.0
2020-02-25,2.0,2.0,22896.5,13815.5,5.1604779634689765e-06,8.466719442551191e-06
2020-02-26,5.0,3.0,7790.0,8089.0,1.2700122175175325e-05,1.26207383973345e-05
2020-02-27,6.0,3.0,6174.5,7916.0,1.578801952451748e-05,1.2933598903230812e-05
2020-02-28,2.0,2.0,23288.0,13777.5,5.170042704552739e-06,8.540110765236624e-06
2020-02-29,1.0,1.0,68890.0,53201.0,2.7028926356987247e-06,4.408471318485602e-06
2020-03-01,4.0,2.0,9961.5,13119.5,1.0387775665596724e-05,8.796776860958145e-06
2020-03-02,2.0,2.0,23822.5,13674.0,4.62282380569347e-06,8.474145382438182e-06
2020-03-03,2.0,1.0,23835.5,53937.0,5.004704422156827e-06,4.2975817507488544e-06
2020-03-04,15.0,5.0,2361.0,4586.5,3.772180420874744e-05,2.053970118842711e-05
2020-03-05,5.0,1.0,8560.0,55951.0,1.1698451359009095e-05,3.996323382488111e-06
2020-03-06,5.0,3.0,8221.5,8267.0,1.2324468753774367e-05,1.23913178166498e-05
2020-03-07,8.0,3.0,4501.5,7918.5,2.1679570527707845e-05,1.2982235973775885e-05
2020-03-08,4.0,3.0,9488.5,7936.0,1.0565435705361694e-05,1.3199809922737113e-05
2020-03-09,7.0,3.0,5469.5,7760.5,1.820314186228543e-05,1.312026030596447e-05
2020-03-10,6.0,2.0,6870.5,14238.0,1.3613221160390975e-05,8.204690621628385e-06
2020-03-11,4.0,2.0,11134.5,14955.0,8.648199877195562e-06,7.762347955009431e-06
2020-03-12,24.0,10.0,1942.5,2537.0,4.759241852772853e-05,3.5447165999078376e-05
2020-03-13,21.0,10.0,2458.0,2636.5,3.8536706212667574e-05,3.492583498940001e-05
2020-03-14,37.0,15.0,1163.5,1621.0,7.772178541645225e-05,5.501861463128359e-05
2020-03-15,19.0,5.0,2407.5,5217.0,3.936591864514939e-05,1.8225758829468865e-05
2020-03-16,34.0,14.0,1459.0,1905.5,6.315828580981926e-05,4.633705574347806e-05
2020-03-17,21.0,10.0,2284.0,2644.5,3.794716670190332e-05,3.356864956679658e-05
2020-03-18,24.0,10.0,1961.0,2684.0,4.1648011828035355e-05,3.2526460275434066e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
