covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,1.0,1.0,69150.0,51915.0,2.7356787218909013e-06,4.498385079756367e-06
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,70254.0,53575.0,2.669072390581377e-06,4.277873554613473e-06
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,1.0,1.0,72942.0,54896.5,2.6313365874195803e-06,4.311199634410271e-06
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,1.0,1.0,69417.5,53052.5,2.5969439163991814e-06,4.3983884304790715e-06
2020-03-02,1.0,0.0,73555.5,103948.5,2.311411902846735e-06,0.0
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,2.0,2.0,24965.0,14955.0,4.324099938597781e-06,7.762347955009431e-06
2020-03-12,3.0,1.0,17066.0,60425.5,5.949052315966068e-06,3.5447165999078375e-06
2020-03-13,1.0,0.0,81463.0,114010.5,1.8350812482222648e-06,0.0
2020-03-14,2.0,2.0,26016.5,15529.0,4.201177590078499e-06,7.335815284171146e-06
2020-03-15,5.0,3.0,9572.5,9184.5,1.0359452275039314e-05,1.093545529768132e-05
2020-03-16,,,,,,
2020-03-17,1.0,1.0,86266.5,64629.5,1.8070079381858727e-06,3.3568649566796583e-06
2020-03-18,7.0,3.0,7431.0,10294.5,1.214733678317698e-05,9.75793808263022e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
