virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,2.0,2.0,20314.5,12785.0,5.270800555542379e-06,9.039956608208279e-06
2020-01-03,1.0,1.0,69351.5,53122.5,2.565312865557083e-06,4.261975084493657e-06
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,1.0,1.0,62647.5,49141.5,2.9402165763530143e-06,4.747616696418398e-06
2020-01-07,1.0,1.0,66582.0,50440.5,2.7224441014164875e-06,4.6045815586508594e-06
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,3.0,3.0,13214.5,7857.5,8.198334098511182e-06,1.3071325868153893e-05
2020-01-11,1.0,1.0,64810.5,49855.0,2.801206759872153e-06,4.685925821794242e-06
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,2.0,1.0,22919.5,54092.5,5.32776404398602e-06,4.325745974893372e-06
2020-01-17,1.0,0.0,70491.5,100459.0,2.7086690954399555e-06,0.0
2020-01-18,3.0,3.0,12450.0,7451.0,8.205981066066353e-06,1.3972009407819668e-05
2020-01-19,1.0,1.0,62876.5,48818.5,3.1280400639371387e-06,4.899487023708618e-06
2020-01-20,4.0,2.0,8800.0,12378.5,1.1898423161470528e-05,9.401014369450464e-06
2020-01-21,,,,,,
2020-01-22,4.0,3.0,9483.0,7637.5,1.0769073375081442e-05,1.3386283521484985e-05
2020-01-23,7.0,5.0,5556.5,4526.5,1.777371521430023e-05,2.0876216561520122e-05
2020-01-24,22.0,5.0,1514.5,4363.5,5.4616049174304636e-05,2.1437054377232133e-05
2020-01-25,17.0,13.0,1840.5,1415.0,4.374126782778291e-05,5.838681715494514e-05
2020-01-26,8.0,4.0,4264.5,5136.0,2.077895092271529e-05,1.8669865436944863e-05
2020-01-27,12.0,10.0,2991.5,1967.5,2.7499661983321447e-05,4.459646885159633e-05
2020-01-28,7.0,7.0,5422.5,3088.0,1.7003002244396295e-05,2.944640753828033e-05
2020-01-29,10.0,7.0,3606.5,3071.5,2.4055057214953586e-05,2.9119226593341682e-05
2020-01-30,19.0,18.0,1947.5,1100.5,4.5309079462586626e-05,7.395416485205058e-05
2020-01-31,11.0,7.0,3474.5,3047.0,2.658340422241126e-05,2.8985027163111168e-05
2020-02-01,4.0,4.0,9617.5,5528.0,9.785453922743843e-06,1.7667376306281636e-05
2020-02-02,8.0,4.0,4342.0,5471.0,2.0756361824899333e-05,1.7868470190924606e-05
2020-02-03,8.0,4.0,4391.5,5250.0,2.2064278760097847e-05,1.822863262469524e-05
2020-02-04,3.0,1.0,13503.0,53193.0,7.182428905924547e-06,4.425189951278659e-06
2020-02-05,4.0,4.0,10188.0,5659.0,9.92871184892472e-06,1.7049789648220214e-05
2020-02-06,2.0,2.0,22837.0,13723.0,5.1850545986249235e-06,8.606777837547067e-06
2020-02-07,6.0,4.0,6237.0,5786.0,1.524959779185824e-05,1.6896387130021923e-05
2020-02-08,6.0,5.0,5479.0,4021.0,1.713712844563389e-05,2.2876803835982463e-05
2020-02-09,4.0,4.0,8748.5,5167.0,1.1218213892075174e-05,1.837585045732898e-05
2020-02-10,4.0,3.0,9555.5,7503.0,1.0287536649349313e-05,1.356938024117312e-05
2020-02-11,2.0,1.0,23938.5,55465.0,4.956850615393004e-06,4.157122606017019e-06
2020-02-12,7.0,5.0,5675.0,4629.5,1.644335030913499e-05,2.0005841705778087e-05
2020-02-13,8.0,5.0,4758.5,4522.0,1.9627566917735958e-05,2.056470685010385e-05
2020-02-14,2.0,1.0,22725.0,54946.0,5.323665556682398e-06,4.2655382896044575e-06
2020-02-15,2.0,2.0,20042.0,12812.0,5.814578893660074e-06,9.166995150659563e-06
2020-02-16,4.0,2.0,8590.0,12774.5,1.1496928882872165e-05,9.12562795727381e-06
2020-02-17,6.0,5.0,6014.0,4132.5,1.6414072331345407e-05,2.249192539878184e-05
2020-02-18,3.0,2.0,13061.5,12749.0,8.103486930426163e-06,9.03330126511384e-06
2020-02-19,4.0,1.0,9575.5,52742.5,1.0835087263084048e-05,4.454481876940484e-06
2020-02-20,,,,,,
2020-02-21,4.0,4.0,9876.5,5810.5,1.0661009224438232e-05,1.6597441504392098e-05
2020-02-22,5.0,5.0,6890.5,4205.5,1.4457510821446847e-05,2.2126243494884413e-05
2020-02-23,6.0,5.0,5383.5,3995.0,1.8045709782880034e-05,2.290457495980247e-05
2020-02-24,19.0,9.0,1827.0,2285.0,5.0712375421046164e-05,3.850086199152125e-05
2020-02-25,12.0,7.0,2913.5,3048.5,3.096286778081386e-05,2.963351804892917e-05
2020-02-26,22.0,10.0,1479.0,2078.0,5.588053757077143e-05,4.2069127991115e-05
2020-02-27,15.0,12.0,2166.0,1622.0,3.94700488112937e-05,5.173439561292325e-05
2020-02-28,11.0,10.0,3183.0,1977.5,2.843523487504007e-05,4.2700553826183117e-05
2020-02-29,16.0,5.0,2077.0,4227.0,4.32462821711796e-05,2.204235659242801e-05
2020-03-01,14.0,10.0,2440.5,1953.5,3.635721482958854e-05,4.3983884304790725e-05
2020-03-02,9.0,4.0,4296.5,5675.0,2.0802707125620613e-05,1.6948290764876363e-05
2020-03-03,12.0,9.0,3166.5,2266.0,3.0028226532940973e-05,3.8678235756739676e-05
2020-03-04,13.0,8.0,2792.0,2723.5,3.2692230314247774e-05,3.286352190148337e-05
2020-03-05,15.0,13.0,2497.0,1670.0,3.509535407702728e-05,5.195220397234544e-05
2020-03-06,19.0,9.0,1928.0,2357.5,4.68329812643426e-05,3.71739534499494e-05
2020-03-07,18.0,7.0,1804.5,3021.0,4.877903368734265e-05,3.0291883938810394e-05
