#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,4.0,2.0,130523.0,118954.0,1.924841299240929e-07,3.8721126382077997e-07
2020-01-25,,,,,,
2020-01-26,3.0,2.0,161828.0,115346.0,1.4258383002410525e-07,3.8921803760936044e-07
2020-01-27,2.0,2.0,228870.5,114834.5,1.0277306391991263e-07,4.0574239091007207e-07
2020-01-28,1.0,1.0,526816.5,320235.0,4.7902032296412415e-08,1.866315799296399e-07
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,2.0,1.0,233160.5,313886.5,1.028407547421286e-07,1.965087856130416e-07
2020-02-01,,,,,,
2020-02-02,1.0,1.0,491977.0,302173.0,5.1852220962847005e-08,1.9519199181911322e-07
2020-02-03,,,,,,
2020-02-04,4.0,1.0,129211.5,316283.5,1.9845839503322145e-07,1.9112503265849e-07
2020-02-05,1.0,0.0,523933.5,624764.5,4.997986061516511e-08,0.0
2020-02-06,1.0,0.0,511613.5,609288.5,5.3509761437965685e-08,0.0
2020-02-07,,,,,,
2020-02-08,2.0,0.0,219966.5,570061.0,1.0851717680410619e-07,0.0
2020-02-09,2.0,0.0,233340.5,597458.0,9.319035696007092e-08,0.0
2020-02-10,2.0,0.0,232599.5,610662.5,1.026347363159672e-07,0.0
2020-02-11,3.0,1.0,168534.5,322612.5,1.424357433192057e-07,1.8514534464991047e-07
2020-02-12,1.0,0.0,528732.0,632739.0,4.979690580950124e-08,0.0
2020-02-13,5.0,1.0,110239.0,319222.5,2.50357748705012e-07,1.929290723275658e-07
2020-02-14,2.0,0.0,228720.0,611317.5,1.0592570646355484e-07,0.0
2020-02-15,,,,,,
2020-02-16,2.0,0.0,227100.5,580467.5,9.428563077558417e-08,0.0
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,1.0,1.0,525313.5,322611.5,4.7466711120823865e-08,1.8575517838998558e-07
2020-02-21,,,,,,
2020-02-22,5.0,1.0,105711.5,296388.5,2.638981986308961e-07,2.0436829046129397e-07
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,1.0,1.0,534903.5,330265.0,4.959174341112937e-08,1.8130620605704148e-07
2020-02-26,1.0,1.0,539478.5,331696.5,4.763843192384711e-08,1.8014437851360353e-07
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,1.0,1.0,541460.5,330925.5,4.666429829798038e-08,1.762401179962838e-07
2020-03-05,1.0,1.0,542316.0,330843.5,4.6943602941242055e-08,1.7925030710058863e-07
2020-03-06,2.0,1.0,236167.0,319473.0,1.0554803760338826e-07,1.9106229681718873e-07
2020-03-07,1.0,1.0,492693.5,300920.0,5.3083766023533837e-08,2.039242364362853e-07
2020-03-08,1.0,0.0,525598.0,610639.5,4.4620507049593916e-08,0.0
2020-03-09,,,,,,
2020-03-10,1.0,0.0,530534.0,634218.0,4.643145697779596e-08,0.0
2020-03-11,1.0,0.0,540337.0,646265.0,4.404753504267722e-08,0.0
2020-03-12,1.0,1.0,571464.5,352363.0,3.7608877229468346e-08,1.4779425207462487e-07
2020-03-13,,,,,,
2020-03-14,1.0,1.0,527162.0,330387.5,3.8451054633603933e-08,1.58732854669119e-07
2020-03-15,,,,,,
2020-03-16,1.0,1.0,595098.5,377060.5,3.094404366922464e-08,1.2577999318272436e-07
2020-03-17,3.0,2.0,188202.5,145892.5,9.753526753354928e-08,2.628731270453993e-07
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
