#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,2.0,1.0,231021.5,309726.0,1.0701952287593137e-07,2.0048308403930108e-07
2020-02-07,2.0,1.0,219320.5,295482.5,1.1613573666175256e-07,2.1705152434200286e-07
2020-02-08,2.0,1.0,219966.5,291736.0,1.0851717680410619e-07,2.1511547613874607e-07
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,2.0,0.0,240024.0,632739.0,9.959381161900248e-08,0.0
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,2.0,1.0,240471.0,324747.5,9.324615750068594e-08,1.7769753746752579e-07
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,3.0,2.0,172836.5,127017.0,1.3395002735259562e-07,3.518789367555671e-07
2020-03-02,1.0,0.0,538479.0,641438.0,4.638568968075652e-08,0.0
2020-03-03,1.0,0.0,535344.5,638143.5,4.649752293746057e-08,0.0
2020-03-04,1.0,0.0,541460.5,647117.5,4.666429829798038e-08,0.0
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,2.0,2.0,237742.0,121852.5,9.5566324606121e-08,3.574362101467561e-07
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,2.0,2.0,258561.0,133708.0,7.521775445893669e-08,2.955885041492497e-07
2020-03-13,2.0,0.0,240903.5,640707.0,8.451286888018547e-08,0.0
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,1.0,0.0,595098.5,720669.0,3.094404366922464e-08,0.0
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
