#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,1.0,0.0,523891.5,624791.0,5.0071549741002414e-08,0.0
2020-02-14,,,,,,
2020-02-15,1.0,1.0,466679.5,284124.5,5.2942784996967695e-08,2.1771328336232915e-07
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,1.0,1.0,526088.0,323211.0,4.5685723522062276e-08,1.7932301616292142e-07
2020-02-20,1.0,0.0,525313.5,627457.5,4.7466711120823865e-08,0.0
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,1.0,0.0,494088.5,588242.0,5.1558508001957785e-08,0.0
2020-02-24,9.0,0.0,70730.5,623426.0,4.5398224142533476e-07,0.0
2020-02-25,5.0,2.0,112892.5,127104.0,2.479587170556469e-07,3.6261241211408295e-07
2020-02-26,3.0,2.0,171391.5,127518.5,1.429152957715413e-07,3.6028875702720707e-07
2020-02-27,12.0,4.0,59727.0,66827.5,5.621257384399895e-07,7.016934494285145e-07
2020-02-28,7.0,3.0,89418.5,86405.5,3.225583930914996e-07,5.266581172498965e-07
2020-02-29,4.0,3.0,135155.0,84766.5,1.7102054328694556e-07,5.297588502396452e-07
2020-03-01,8.0,5.0,81261.5,54167.0,3.5720007294025495e-07,8.796973418889177e-07
2020-03-02,8.0,6.0,80737.5,45393.5,3.7108551744605217e-07,1.074914365155576e-06
2020-03-03,6.0,2.0,98366.0,124718.0,2.789851376247633e-07,3.622813654602033e-07
2020-03-04,5.0,1.0,114084.0,330925.5,2.3332149148990192e-07,1.762401179962838e-07
2020-03-05,1.0,1.0,542316.0,330843.5,4.6943602941242055e-08,1.7925030710058863e-07
2020-03-06,4.0,1.0,130069.0,319473.0,2.1109607520677653e-07,1.9106229681718873e-07
2020-03-07,3.0,2.0,157573.0,114895.0,1.5925129807060154e-07,4.078484728725706e-07
2020-03-08,6.0,2.0,101074.5,131866.0,2.6772304229756346e-07,3.4553909887203944e-07
2020-03-09,3.0,2.0,165906.5,121852.5,1.4334948690918149e-07,3.574362101467561e-07
2020-03-10,9.0,5.0,71401.5,52236.0,4.1788311280016364e-07,9.026751862354307e-07
2020-03-11,5.0,4.0,113418.5,65568.0,2.202376752133861e-07,6.773658866346905e-07
2020-03-12,12.0,6.0,61647.5,47090.0,4.5130652675362007e-07,8.867655124477491e-07
2020-03-13,15.0,10.0,49028.5,28296.5,6.33846516601391e-07,1.680318978312291e-06
2020-03-14,83.0,13.0,15751.5,23692.5,3.191437534589127e-06,2.063527110698547e-06
2020-03-15,76.0,12.0,17311.5,26715.0,2.6036502011028584e-06,1.7327741671096069e-06
2020-03-16,57.0,15.0,21755.0,23722.0,1.7638104891458042e-06,1.8866998977408646e-06
2020-03-17,62.0,16.0,20421.5,22398.0,2.0157288623600186e-06,2.102985016363195e-06
2020-03-18,388.0,35.0,5645.0,11952.0,1.3446348273312135e-05,4.697765246227996e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
