#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,90.0,4.0,13618.0,64252.5,4.273072299576173e-06,7.40581378599642e-07
2020-02-12,38.0,9.0,25154.5,31368.5,1.892282420761047e-06,1.6673036384085252e-06
2020-02-13,59.0,10.0,18156.0,27869.5,2.9542214347191416e-06,1.9292907232756578e-06
2020-02-14,27.0,8.0,30516.5,32618.5,1.4299970372579902e-06,1.5635431764630463e-06
2020-02-15,20.0,6.0,36595.0,39252.0,1.058855699939354e-06,1.3062797001739748e-06
2020-02-16,33.0,13.0,27598.0,21652.5,1.5557129077971388e-06,2.5570336521364214e-06
2020-02-17,36.0,13.0,26072.5,22161.0,1.7579154170207524e-06,2.495808002481985e-06
2020-02-18,45.0,13.0,22688.5,23029.5,2.098038543765434e-06,2.3100679870778353e-06
2020-02-19,36.0,11.0,26765.0,26824.0,1.644686046794242e-06,1.972553177792136e-06
2020-02-20,24.0,6.0,35340.0,44679.0,1.1392010668997723e-06,1.1145310703399134e-06
2020-02-21,38.0,11.0,24558.0,25989.5,1.91872667642558e-06,2.056532969588738e-06
2020-02-22,83.0,20.0,13535.5,14621.0,4.380710097272876e-06,4.087365809225879e-06
2020-02-23,135.0,23.0,9733.0,13270.5,6.9603985802643e-06,4.491621660943104e-06
2020-02-24,80.0,19.0,14509.5,16352.0,4.035397701558531e-06,3.5562463408096863e-06
2020-02-25,121.0,34.0,10956.5,10086.5,6.000600952746656e-06,6.1644110059394085e-06
2020-02-26,85.0,20.0,14614.0,16012.5,4.049266713527005e-06,3.6028875702720702e-06
2020-02-27,71.0,22.0,16593.0,14898.5,3.325910619103272e-06,3.85931397185683e-06
2020-02-28,134.0,27.0,10734.0,12589.0,6.174689239180136e-06,4.73992305524907e-06
2020-02-29,157.0,47.0,9677.5,7736.5,6.7125563240126135e-06,8.299555320421108e-06
2020-03-01,153.0,35.0,10034.0,9991.5,6.831451394982376e-06,6.1578813932224255e-06
2020-03-02,219.0,51.0,7301.5,7106.5,1.0158466040085678e-05,9.136772103822397e-06
2020-03-03,208.0,45.0,7567.5,7911.0,9.671484770991794e-06,8.151330722854575e-06
2020-03-04,218.0,45.0,7433.5,8161.0,1.0172817028959725e-05,7.930805309832769e-06
2020-03-05,360.0,46.0,4900.0,7872.5,1.6899697058847138e-05,8.245514126627078e-06
2020-03-06,159.0,40.0,8676.5,8467.5,8.391068989469366e-06,7.64249187268755e-06
2020-03-07,113.0,30.0,10808.0,10212.5,5.9984655606593235e-06,6.117727093088559e-06
2020-03-08,140.0,38.0,10362.0,9494.5,6.246870986943147e-06,6.56524287856875e-06
2020-03-09,217.0,54.0,7292.5,6657.0,1.0368946219764129e-05,9.650777673962416e-06
2020-03-10,293.0,84.0,5894.0,4682.5,1.3604416894494218e-05,1.516494312875524e-05
2020-03-11,357.0,94.0,5183.0,4560.0,1.5724970010235767e-05,1.5918098335915226e-05
2020-03-12,608.0,136.0,3716.5,3598.5,2.2866197355516753e-05,2.0100018282148985e-05
2020-03-13,961.0,190.0,2304.5,2491.5,4.0608433496929117e-05,3.1926060587933534e-05
2020-03-14,973.0,182.0,2499.5,2705.5,3.741287615849663e-05,2.888937954977965e-05
2020-03-15,1040.0,192.0,2629.0,2823.5,3.5628897488775956e-05,2.7724386673753716e-05
2020-03-16,1145.0,266.0,2569.5,2408.0,3.543093000126221e-05,3.345747818660468e-05
2020-03-17,1369.0,308.0,2144.0,2034.0,4.450859375114299e-05,4.048246156499151e-05
2020-03-18,1451.0,297.0,1870.5,2072.5,5.028518387777297e-05,3.9863893660849e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
