#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,3.0,2.0,161661.5,119447.5,1.5467552400587337e-07,3.9057579660374813e-07
2020-02-24,20.0,5.0,39652.0,52433.5,1.0088494253896328e-06,9.358543002130751e-07
2020-02-25,20.0,6.0,40208.5,45789.5,9.918348682225878e-07,1.0878372363422493e-06
2020-02-26,9.0,3.0,72790.0,85738.5,4.2874588731462396e-07,5.404331355408105e-07
2020-02-27,7.0,6.0,89120.5,46403.0,3.2790668075666057e-07,1.0525401741427722e-06
2020-02-28,38.0,4.0,26569.5,66310.0,1.7510312767824261e-06,7.022108229998622e-07
2020-02-29,42.0,6.0,24584.5,45381.0,1.7957157045129289e-06,1.0595177004792904e-06
2020-03-01,11.0,7.0,64307.0,40109.0,4.911501002928505e-07,1.2315762786444848e-06
2020-03-02,17.0,5.0,46737.0,53417.0,7.885567245728609e-07,8.957619709629801e-07
2020-03-03,7.0,5.0,87544.5,52904.5,3.25482660562224e-07,9.057034136505079e-07
2020-03-04,115.0,9.0,11951.5,32139.0,5.3663943042677425e-06,1.586161061966554e-06
2020-03-05,29.0,4.0,31711.0,65209.0,1.3613644852960196e-06,7.170012284023545e-07
2020-03-06,38.0,4.0,24864.0,62005.0,2.005412714464377e-06,7.642491872687548e-07
2020-03-07,21.0,1.0,36423.0,300920.0,1.1147590864942106e-06,2.039242364362853e-07
2020-03-08,39.0,3.0,25858.0,86631.0,1.7401997749341625e-06,5.18308648308059e-07
2020-03-09,13.0,1.0,53915.0,320657.0,6.211811099397865e-07,1.7871810507337808e-07
2020-03-10,8.0,2.0,77837.0,124015.0,3.714516558223677e-07,3.610700744941724e-07
2020-03-11,9.0,7.0,73130.0,39863.5,3.964278153840949e-07,1.1853903016107084e-06
2020-03-12,96.0,16.0,14379.5,20633.5,3.610452214028961e-06,2.364708033193998e-06
2020-03-13,994.0,49.0,2242.5,7629.5,4.200289583345218e-05,8.233562993730226e-06
2020-03-14,511.0,41.0,4307.0,9129.5,1.9648488917771613e-05,6.508047041433876e-06
2020-03-15,230.0,27.0,8241.0,13695.5,7.879467713863912e-06,3.8987418759966164e-06
2020-03-16,6545.0,56.0,483.0,8288.5,0.00020252876581507525,7.0436796182325635e-06
2020-03-17,2175.0,82.0,1396.5,6055.0,7.071306896182323e-05,1.0777798208861374e-05
2020-03-18,1385.0,54.0,1957.5,8383.5,4.799791844983844e-05,7.247980665608908e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
