#covidー19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,539478.5,331696.5,4.763843192384711e-08,1.8014437851360353e-07
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,4.0,3.0,130069.0,80747.5,2.1109607520677653e-07,5.731868904515661e-07
2020-03-07,1.0,1.0,492693.5,300920.0,5.3083766023533837e-08,2.039242364362853e-07
2020-03-08,1.0,1.0,525598.0,320966.0,4.4620507049593916e-08,1.7276954943601972e-07
2020-03-09,3.0,2.0,165906.5,121852.5,1.4334948690918149e-07,3.574362101467561e-07
2020-03-10,1.0,1.0,530534.0,324880.0,4.643145697779596e-08,1.805350372470862e-07
2020-03-11,1.0,1.0,540337.0,331779.0,4.404753504267722e-08,1.693414716586726e-07
2020-03-12,1.0,0.0,571464.5,684670.0,3.7608877229468346e-08,0.0
2020-03-13,4.0,3.0,132382.0,82271.5,1.6902573776037093e-07,5.040956934936871e-07
2020-03-14,14.0,10.0,53060.0,29625.5,5.383147648704551e-07,1.58732854669119e-06
2020-03-15,36.0,9.0,28608.5,34062.5,1.2333079899960906e-06,1.2995806253322052e-06
2020-03-16,67.0,14.0,19573.5,25125.5,2.0732509258380505e-06,1.7609199045581409e-06
2020-03-17,29.0,5.0,34360.0,61064.0,9.428409194909763e-07,6.571828176134984e-07
2020-03-18,22.0,5.0,42023.0,61305.0,7.624218093115129e-07,6.711093208897138e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
