covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,5.0,4.0,112219.0,64252.5,2.373929055320096e-07,7.40581378599642e-07
2020-02-12,2.0,2.0,240024.0,125313.5,9.959381161900248e-08,3.70511919646339e-07
2020-02-13,3.0,1.0,165528.5,319222.5,1.5021464922300725e-07,1.929290723275658e-07
2020-02-14,4.0,3.0,126047.5,78521.0,2.118514129271097e-07,5.863286911736425e-07
2020-02-15,8.0,5.0,70639.5,46120.5,4.2354227997574156e-07,1.0885664168116458e-06
2020-02-16,6.0,3.0,93906.0,79176.5,2.828568923267525e-07,5.900846889545587e-07
2020-02-17,5.0,1.0,109621.0,313861.5,2.441549190306601e-07,1.919852309601527e-07
2020-02-18,5.0,4.0,111959.0,64526.0,2.3311539375171485e-07,7.107901498701031e-07
2020-02-19,2.0,2.0,240258.0,125229.0,9.137144704412457e-08,3.5864603232584283e-07
2020-02-20,2.0,1.0,239257.0,322611.5,9.493342224164773e-08,1.8575517838998558e-07
2020-02-21,1.0,1.0,518428.5,318227.0,5.049280727435736e-08,1.8695754268988529e-07
2020-02-22,13.0,3.0,51959.5,77860.0,6.861353164403303e-07,6.131048713838819e-07
2020-02-23,10.0,7.0,64703.5,37728.0,5.155850800195778e-07,1.3670152881131183e-06
2020-02-24,5.0,3.0,110110.0,83639.0,2.522123563474082e-07,5.615125801278452e-07
2020-02-25,34.0,20.0,27485.0,16082.0,1.686119275978399e-06,3.6261241211408286e-06
2020-02-26,28.0,15.0,32325.0,20550.5,1.333876093867719e-06,2.7021656777040526e-06
2020-02-27,39.0,19.0,25555.0,16928.5,1.826908649929966e-06,3.333043884785444e-06
2020-02-28,30.0,23.0,31233.0,14492.0,1.382393113249284e-06,4.037712232249208e-06
2020-02-29,36.0,24.0,27350.0,13703.0,1.5391848895825104e-06,4.238070801917162e-06
2020-03-01,35.0,21.0,28312.5,15368.5,1.5627503191136153e-06,3.694728835933455e-06
2020-03-02,95.0,38.0,13568.5,9127.5,4.4066405196718695e-06,6.807790979318648e-06
2020-03-03,57.0,32.0,19242.0,10672.5,2.6503588074352515e-06,5.7965018473632525e-06
2020-03-04,45.0,17.0,23125.0,18549.5,2.0998934234091173e-06,2.996082005936825e-06
2020-03-05,56.0,31.0,19738.0,11188.0,2.628841764709555e-06,5.556759520118248e-06
2020-03-06,62.0,38.0,17362.5,8852.5,3.271989165705036e-06,7.260367279053172e-06
2020-03-07,53.0,31.0,18625.5,9937.5,2.8134395992472944e-06,6.3216513295248436e-06
2020-03-08,67.0,32.0,17617.5,11012.0,2.989573972322792e-06,5.528625581952631e-06
2020-03-09,93.0,51.0,13425.5,6970.0,4.443834094184627e-06,9.114623358742282e-06
2020-03-10,83.0,42.0,14666.5,8360.5,3.853810929157065e-06,7.582471564377619e-06
2020-03-11,95.0,61.0,13919.5,6522.5,4.184515829054336e-06,1.032982977117903e-05
2020-03-12,644.0,151.0,3540.5,3294.5,2.4220116935777608e-05,2.231693206326836e-05
2020-03-13,513.0,129.0,3971.5,3448.5,2.167755086776757e-05,2.1676114820228555e-05
2020-03-14,559.0,162.0,4013.0,2987.5,2.14941395401846e-05,2.571472245639728e-05
2020-03-15,502.0,177.0,4688.0,3027.0,1.7197794749389937e-05,2.5558418964866704e-05
2020-03-16,680.0,256.0,3906.0,2494.0,2.1041949695072753e-05,3.219967825477745e-05
2020-03-17,965.0,236.0,2948.0,2574.0,3.137384438995835e-05,3.101902899135713e-05
2020-03-18,581.0,223.0,4230.5,2633.5,2.013486687318132e-05,2.9931475711681237e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
