virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,29.0,17.0,25602.5,14090.5,1.701599127654671e-06,3.982158990742885e-06
2020-01-02,54.0,31.0,19358.0,9733.5,2.675451660831209e-06,6.2491319250208985e-06
2020-01-03,107.0,33.0,13301.0,9829.5,4.158764689864594e-06,6.157959498540561e-06
2020-01-04,135.0,46.0,10497.0,7059.5,6.183058657440873e-06,9.13556503271128e-06
2020-01-05,191.0,44.0,8258.5,7657.0,8.561215943673474e-06,8.23106854235259e-06
2020-01-06,105.0,39.0,11840.5,8169.5,5.14993319310474e-06,7.784367433320407e-06
2020-01-07,182.0,44.0,8311.0,7749.5,8.538456457249921e-06,8.325851105398653e-06
2020-01-08,3138.0,78.0,619.0,4831.0,0.00014571486841455166,1.4567341551679605e-05
2020-01-09,656.0,46.0,2999.5,7731.0,3.0429177573547693e-05,8.35329953515704e-06
2020-01-10,113.0,43.0,11379.5,7880.5,5.644229057999648e-06,8.344056092237912e-06
2020-01-11,115.0,36.0,10929.0,8610.5,5.870233536266458e-06,7.420117794369986e-06
2020-01-12,519.0,31.0,3520.5,10286.0,2.5086948754179224e-05,6.028346451793064e-06
2020-01-13,214.0,44.0,7042.5,7568.5,1.0510448269636416e-05,8.516426832473755e-06
2020-01-14,283.0,56.0,5864.0,6166.5,1.3177320685650916e-05,1.0930866757223691e-05
2020-01-15,1252.0,46.0,1550.5,7404.0,5.962172207915232e-05,8.76278437854619e-06
2020-01-16,2946.0,50.0,579.5,6735.5,0.00015094170253325366,9.806040442464236e-06
2020-01-17,377.0,43.0,4356.0,7557.0,1.988405748486293e-05,8.619414368924567e-06
2020-01-18,160.0,36.0,8690.0,8450.0,8.1246368033454e-06,7.472971197300763e-06
2020-01-19,204.0,73.0,7298.0,4734.0,1.0338324717049177e-05,1.4502018561789127e-05
2020-01-20,1259.0,224.0,1393.0,1814.5,6.589663388060514e-05,4.443893366398016e-05
2020-01-21,3022.0,446.0,543.0,1022.0,0.00015541960026305105,8.523330994194962e-05
2020-01-22,3834.0,648.0,511.0,754.5,0.00017588520283844035,0.00011523230601717141
2020-01-23,13409.0,1495.0,143.0,330.0,0.0006657643174456017,0.00029002775924553205
2020-01-24,13823.0,2674.0,143.0,191.0,0.0006651770319851841,0.0005177014597283829
2020-01-25,39674.0,3406.0,61.0,144.0,0.0019326434259726547,0.0007042349622264577
2020-01-26,17311.0,1524.0,121.0,331.0,0.0008227562271824285,0.00029658414465833275
2020-01-27,5991.0,987.0,298.0,449.0,0.00030785671297209837,0.0002002338699141205
2020-01-28,5265.0,865.0,367.0,548.0,0.00025220420004061137,0.0001614363166391385
2020-01-29,9091.0,899.0,200.0,521.0,0.0004357214729926018,0.00016703358935860402
2020-01-30,6450.0,752.0,273.0,621.5,0.00032350170686020727,0.0001417022586812419
2020-01-31,4051.0,548.0,398.5,807.0,0.0002083039487301815,0.00010768681451594678
2020-02-01,1808.0,376.0,932.5,1098.0,9.620797439590784e-05,7.752529365797737e-05
2020-02-02,1800.0,445.0,955.0,1015.5,9.33339977331246e-05,8.686043635950539e-05
2020-02-03,1387.0,307.0,1244.0,1360.0,7.250351879911172e-05,6.131663390454338e-05
2020-02-04,1135.0,354.0,1658.0,1253.5,5.631256959067658e-05,6.765826156110544e-05
2020-02-05,906.0,269.0,2057.0,1599.0,4.52817537173396e-05,5.133190061991379e-05
2020-02-06,881.0,294.0,1953.0,1407.5,4.714209982684776e-05,5.8942026707554516e-05
2020-02-07,1020.0,325.0,1542.5,1197.5,5.9229225697493814e-05,7.054174541115094e-05
2020-02-08,934.0,336.0,1763.0,1172.5,5.0677521567517605e-05,7.227879998261867e-05
2020-02-09,740.0,291.0,2661.5,1515.5,3.448043207522624e-05,5.442479167087477e-05
2020-02-10,734.0,296.0,2419.5,1440.0,3.766694822795996e-05,5.806962823078518e-05
2020-02-11,898.0,302.0,2103.5,1496.5,4.2635765833548935e-05,5.5913894084272985e-05
2020-02-12,564.0,210.0,3062.0,2047.0,2.8085454876558698e-05,3.890375156286559e-05
2020-02-13,474.0,222.0,3647.0,1857.0,2.373391457723514e-05,4.283025405671961e-05
2020-02-14,378.0,154.0,4124.0,2565.0,2.0019958521611864e-05,3.009820614691365e-05
2020-02-15,455.0,170.0,3576.5,2120.5,2.4088967173620306e-05,3.701125817159595e-05
2020-02-16,627.0,205.0,3105.5,1991.5,2.9558545248145642e-05,4.032245374522818e-05
2020-02-17,616.0,189.0,3067.5,2213.0,3.007988602457732e-05,3.628520865146886e-05
2020-02-18,976.0,305.0,2049.0,1582.0,4.550412486033474e-05,5.4197748927595365e-05
2020-02-19,595.0,162.0,3203.5,2686.0,2.7183005495627052e-05,2.9050328618393268e-05
2020-02-20,429.0,169.0,4304.0,2532.0,2.0363219070833432e-05,3.139262514790756e-05
2020-02-21,520.0,195.0,3451.0,2172.0,2.625625978266583e-05,3.645672082452764e-05
2020-02-22,496.0,224.0,3341.0,1754.5,2.617870130418489e-05,4.5778497063329856e-05
2020-02-23,1319.0,467.0,1320.5,978.5,6.800567205458231e-05,9.119944850697519e-05
2020-02-24,2251.0,698.0,775.5,670.0,0.00011354600282760316,0.00013064526030974528
2020-02-25,3436.0,901.0,503.0,543.0,0.0001703972303606406,0.00016335689165739438
2020-02-26,3934.0,1184.0,457.0,425.0,0.00018740959118841453,0.00021329094416010656
2020-02-27,5784.0,1365.0,346.0,377.0,0.000270944605928075,0.00023945288961748067
2020-02-28,7442.0,1519.0,262.0,342.0,0.0003429256516267059,0.0002666645600341977
2020-02-29,7740.0,1478.0,285.0,350.0,0.0003309247512602397,0.0002609945268847319
2020-03-01,5598.0,1357.0,360.0,379.0,0.0002499507510399435,0.00023874985858865228
2020-03-02,7041.0,2018.0,285.0,266.0,0.00032660164104220666,0.00036152953148065866
2020-03-03,8602.0,1745.0,223.0,299.0,0.0003999716923080357,0.00031609049136402737
2020-03-04,9399.0,1380.0,205.0,373.0,0.0004385977397027176,0.0002432113628348716
2020-03-05,7379.0,1429.0,256.0,355.0,0.0003463968461034251,0.0002561486888467412
2020-03-06,8301.0,1465.0,197.0,332.0,0.000438077130072863,0.0002799062648371815
2020-03-07,10165.0,1179.0,171.0,376.5,0.0005395964816292215,0.00024042667475838043
2020-03-08,8416.0,1293.0,245.5,413.5,0.0003755261873293824,0.0002233910274207735
2020-03-09,8459.0,1756.0,219.0,313.0,0.0004041977699215888,0.00031382899250885184
2020-03-10,7270.0,1786.0,270.0,294.0,0.0003375566922285767,0.000322435576523296
2020-03-11,8167.0,2161.0,244.0,270.0,0.0003597362186935448,0.0003659469202543915
2020-03-12,19943.0,5220.0,132.0,134.0,0.0007500338385872872,0.0007714859958295418
2020-03-13,15655.0,4213.0,147.0,144.0,0.0006615244811596518,0.0007079183855629681
2020-03-14,27905.0,4844.0,95.0,137.0,0.0010729766795507178,0.0007689019480172124
2020-03-15,30904.0,5498.0,96.0,138.0,0.0010587263923010886,0.0007938993642307182
2020-03-16,39260.0,6042.0,89.0,141.0,0.001214863154453759,0.0007599627188100206
2020-03-17,30273.0,5060.0,109.0,160.0,0.000984228384681046,0.0006650690114248602
2020-03-18,27102.0,4778.0,106.0,164.0,0.0009392343579982099,0.0006413120670422105
2020-03-19,,,,,,
2020-03-20,,,,,,
