#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,1.0,0.0,290750.5,388052.0,2.4246197832486894e-07,0.0
2020-01-28,1.0,1.0,301659.5,215716.0,2.463284740936344e-07,4.898183900355263e-07
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,3.0,2.0,73763.5,65632.0,7.65390471602993e-07,1.014584654407102e-06
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,2.0,1.0,119635.0,221216.5,3.741597074520079e-07,4.3173456268310935e-07
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,1.0,1.0,312985.0,221361.0,2.3073389298608194e-07,4.7390714642498656e-07
2020-02-14,5.0,0.0,48919.0,417891.0,1.153467461605682e-06,0.0
2020-02-15,3.0,0.0,71269.5,379646.5,7.618287241425808e-07,0.0
2020-02-16,,,,,,
2020-02-17,1.0,0.0,302737.0,403498.5,2.336069259781414e-07,0.0
2020-02-18,,,,,,
2020-02-19,1.0,0.0,309089.5,414088.0,2.3443146501614409e-07,0.0
2020-02-20,2.0,0.0,119255.0,420912.5,3.7375311289623903e-07,0.0
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,311161.5,221467.0,2.0756827128010675e-07,4.6407437812873143e-07
2020-02-27,,,,,,
2020-02-28,1.0,0.0,312118.5,418332.5,2.1297889102317397e-07,0.0
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,1.0,1.0,315061.0,222922.5,2.0290980780788824e-07,4.408090432856848e-07
2020-03-03,,,,,,
2020-03-04,1.0,1.0,315977.5,223908.0,2.0748493607492865e-07,4.342716786250611e-07
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,1.0,1.0,311099.0,220712.0,2.1689165199213897e-07,4.570258585230752e-07
2020-03-10,,,,,,
2020-03-11,1.0,0.0,323701.5,433356.5,2.0336590916254934e-07,0.0
2020-03-12,2.0,0.0,124378.5,442082.0,3.801289853673149e-07,0.0
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,1.0,1.0,337204.5,242256.0,1.8443535301111e-07,3.901560507156047e-07
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
