#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,4.0,0.0,57834.0,404963.5,9.709206828193887e-07,0.0
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,2.0,0.0,113477.5,405414.5,4.3793478713084833e-07,0.0
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,0.0,314266.0,419553.0,2.1874069668474413e-07,0.0
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,0.0,284602.0,379646.5,2.5394290804752694e-07,0.0
2020-02-16,,,,,,
2020-02-17,1.0,1.0,302737.0,213642.5,2.336069259781414e-07,4.912042510780703e-07
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,2.0,1.0,119829.0,222922.5,4.058196156157765e-07,4.408090432856848e-07
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,2.0,2.0,118236.0,70314.5,4.283679843765629e-07,9.083621549075399e-07
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,1.0,1.0,311099.0,220712.0,2.1689165199213897e-07,4.570258585230752e-07
2020-03-10,,,,,,
2020-03-11,3.0,3.0,81274.0,47214.0,6.100977274876481e-07,1.2579935003669148e-06
2020-03-12,20.0,0.0,17140.0,442082.0,3.8012898536731492e-06,0.0
2020-03-13,18.0,1.0,18799.0,236950.0,3.2792936110069125e-06,3.8601200574540267e-07
2020-03-14,1.0,0.0,318866.5,426942.5,1.876764862757816e-07,0.0
2020-03-15,,,,,,
2020-03-16,4.0,0.0,64641.0,455014.0,7.3774141204444e-07,0.0
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
