#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,16.0,6.0,18597.0,23249.5,3.499851146955906e-06,2.7218735199812736e-06
2020-02-12,7.0,5.0,36803.0,27314.0,1.5734558890632675e-06,2.3220400143223427e-06
2020-02-13,13.0,4.0,21897.0,33320.0,2.9995406088190645e-06,1.8956285856999469e-06
2020-02-14,18.0,11.0,16074.0,12842.0,4.152482861780455e-06,5.253450322896161e-06
2020-02-15,10.0,3.0,24889.5,40815.5,2.5394290804752696e-06,1.6078083749666382e-06
2020-02-16,15.0,9.0,18398.5,14742.0,3.5934685116332564e-06,4.657820947152364e-06
2020-02-17,17.0,11.0,16937.0,12735.0,3.971317741628404e-06,5.403246761858776e-06
2020-02-18,4.0,4.0,58588.5,33044.0,9.181608778536154e-07,1.9229299298755533e-06
2020-02-19,14.0,4.0,20196.5,33795.0,3.2820405102260183e-06,1.8889576259580558e-06
2020-02-20,17.0,6.0,18912.0,24017.0,3.1769014596180316e-06,2.608432540717632e-06
2020-02-21,35.0,15.0,9953.5,10147.5,7.1181122603585834e-06,6.901533520748309e-06
2020-02-22,44.0,13.0,7762.0,10956.0,9.697016712808304e-06,6.290747713434183e-06
2020-02-23,70.0,25.0,5273.5,6284.5,1.4904976516144854e-05,1.1578989784088893e-05
2020-02-24,48.0,18.0,6963.5,8401.5,1.0576808452456474e-05,8.364106274334324e-06
2020-02-25,55.0,27.0,6183.5,5900.0,1.2477826335428019e-05,1.240478181367099e-05
2020-02-26,110.0,31.0,3232.5,5157.5,2.283250984081174e-05,1.4386305721990674e-05
2020-02-27,133.0,41.0,2834.5,4062.0,2.8813218204667876e-05,1.853296653127053e-05
2020-02-28,90.0,22.0,3966.5,7101.5,1.916810019208567e-05,1.0073144767115759e-05
2020-02-29,75.0,25.0,4883.5,6558.5,1.5985131696171675e-05,1.1183115463877864e-05
2020-03-01,76.0,23.0,5040.0,6921.0,1.5663162858354104e-05,1.0489197950319507e-05
2020-03-02,57.0,28.0,6588.5,5838.5,1.156585904504963e-05,1.2342653211999175e-05
2020-03-03,89.0,35.0,4394.5,4862.5,1.7950627303831915e-05,1.5088157951459241e-05
2020-03-04,105.0,30.0,3670.5,5540.5,2.1785918287867505e-05,1.3028150358751833e-05
2020-03-05,66.0,26.0,5415.0,6242.5,1.4234952199677554e-05,1.1736458722197567e-05
2020-03-06,80.0,31.0,4534.5,5203.0,1.7134719375062515e-05,1.4079613401066875e-05
2020-03-07,58.0,20.0,5599.5,7097.5,1.3810954229783325e-05,9.908956507608096e-06
2020-03-08,315.0,33.0,1269.5,4887.0,6.904954074383234e-05,1.5207198073754913e-05
2020-03-09,280.0,33.0,1438.5,4966.5,6.072966255779892e-05,1.5081853331261484e-05
2020-03-10,147.0,53.0,2644.5,3359.5,3.145861394630977e-05,2.298735912110217e-05
2020-03-11,231.0,72.0,1836.5,2652.5,4.69775250165489e-05,3.0191844008805956e-05
2020-03-12,244.0,88.0,1879.0,2342.0,4.637573621481241e-05,3.502292409577178e-05
2020-03-13,756.0,102.0,649.0,2125.5,0.00013773033166229032,3.937322458603108e-05
2020-03-14,876.0,84.0,561.0,2339.5,0.00016440460197758466,3.5178383720784145e-05
2020-03-15,550.0,98.0,956.0,2107.5,9.604854537970696e-05,3.965330067196159e-05
2020-03-16,430.0,88.0,1140.0,2384.0,7.930720179477729e-05,3.4333732462973214e-05
2020-03-17,435.0,123.0,1158.0,1838.0,7.689612588479157e-05,4.5138939858784854e-05
2020-03-18,450.0,143.0,1166.5,1679.5,7.746516090460716e-05,5.151805329488573e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
