#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,5.0,3.0,48721.5,44625.5,1.1017508804642159e-06,1.3940177123890535e-06
2020-02-25,8.0,1.0,33031.5,221664.0,1.8149565578804402e-06,4.59436363469296e-07
2020-02-26,4.0,2.0,59726.0,69256.0,8.302730851204268e-07,9.281487562574629e-07
2020-02-27,2.0,1.0,118842.5,224852.5,4.3328147676192295e-07,4.520235739334278e-07
2020-02-28,2.0,1.0,116677.0,221622.0,4.259577820463479e-07,4.5787021668708e-07
2020-02-29,1.0,1.0,307244.0,217829.5,2.131350892822889e-07,4.4732461855511467e-07
2020-03-01,,,,,,
2020-03-02,1.0,1.0,315061.0,222922.5,2.0290980780788824e-07,4.408090432856848e-07
2020-03-03,5.0,3.0,51647.0,46812.0,1.008462208080445e-06,1.2932706815536491e-06
2020-03-04,27.0,7.0,12455.5,20747.0,5.602093274023072e-06,3.039901750375428e-06
2020-03-05,12.0,3.0,23881.0,45827.5,2.5881731272141012e-06,1.3542067756381813e-06
2020-03-06,3.0,1.0,78771.0,223595.5,6.425519765648443e-07,4.5418107745377005e-07
2020-03-07,6.0,2.0,40258.5,66820.5,1.4287194030810337e-06,9.908956507608092e-07
2020-03-08,4.0,2.0,62101.5,75022.0,8.768195650010456e-07,9.216483681063579e-07
2020-03-09,3.0,0.0,78025.5,416099.5,6.506749559764171e-07,0.0
2020-03-10,5.0,4.0,50997.5,34933.0,1.0700208825275434e-06,1.7348950280077115e-06
2020-03-11,3.0,2.0,81274.0,72600.0,6.100977274876481e-07,8.386623335779431e-07
2020-03-12,46.0,16.0,8413.0,10540.0,8.742966663448242e-06,6.367804381049414e-06
2020-03-13,186.0,22.0,2555.5,8148.0,3.388603398040476e-05,8.492264126398859e-06
2020-03-14,83.0,16.0,4940.5,10182.0,1.557714836088987e-05,6.7006445182445975e-06
2020-03-15,62.0,18.0,6764.0,9410.5,1.0827290570076057e-05,7.283259307094987e-06
2020-03-16,52.0,21.0,7630.5,8395.5,9.590638356577721e-06,8.193277065027699e-06
2020-03-17,45.0,17.0,9077.0,10689.5,7.9547716432543e-06,6.238715265035303e-06
2020-03-18,151.0,27.0,3198.5,7119.0,2.599386510354596e-05,9.727184887845558e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
