#covidー19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,311161.5,221467.0,2.0756827128010675e-07,4.6407437812873143e-07
2020-02-27,1.0,1.0,315827.0,224852.5,2.1664073838096148e-07,4.520235739334278e-07
2020-02-28,,,,,,
2020-02-29,1.0,1.0,307244.0,217829.5,2.131350892822889e-07,4.4732461855511467e-07
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,1.0,1.0,315977.5,223908.0,2.0748493607492865e-07,4.342716786250611e-07
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,1.0,1.0,318574.5,226838.0,2.1400417650550867e-07,4.3372375700192787e-07
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,2.0,1.0,124751.0,234030.5,3.4926743774438894e-07,4.046255170608326e-07
2020-03-16,4.0,4.0,64641.0,36991.5,7.3774141204444e-07,1.5606242028624191e-06
2020-03-17,2.0,2.0,131806.5,79038.5,3.535454063668578e-07,7.339665017688592e-07
2020-03-18,1.0,1.0,355335.0,255286.5,1.7214480201023815e-07,3.602661069572429e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
