covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,2.0,2.0,111011.0,65219.5,4.791291348844339e-07,1.0350713215894141e-06
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,3.0,3.0,76702.0,44625.5,6.610505282785296e-07,1.3940177123890535e-06
2020-02-25,1.0,1.0,310643.5,221664.0,2.2686956973505486e-07,4.59436363469296e-07
2020-02-26,1.0,1.0,311161.5,221467.0,2.0756827128010675e-07,4.6407437812873143e-07
2020-02-27,3.0,3.0,79492.5,46003.0,6.499222151428842e-07,1.356070721800283e-06
2020-02-28,3.0,2.0,77901.5,69468.0,6.389366730695221e-07,9.1574043337416e-07
2020-02-29,2.0,2.0,117365.5,69576.0,4.262701785645778e-07,8.946492371102293e-07
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,3.0,3.0,79754.5,46246.0,6.224548082247859e-07,1.3028150358751827e-06
2020-03-05,3.0,2.0,78816.5,70491.5,6.470432818035253e-07,9.028045170921207e-07
2020-03-06,2.0,2.0,118236.0,70314.5,4.283679843765629e-07,9.083621549075399e-07
2020-03-07,3.0,3.0,74686.0,42780.0,7.143597015405167e-07,1.4863434761412148e-06
2020-03-08,7.0,6.0,38245.5,23599.5,1.5344342387518298e-06,2.764945104319074e-06
2020-03-09,9.0,3.0,30170.5,44622.0,1.9520248679292517e-06,1.3710775755692258e-06
2020-03-10,7.0,5.0,38352.0,28322.0,1.4980292355385609e-06,2.1686187850096402e-06
2020-03-11,7.0,7.0,39205.5,21412.5,1.4235613641378456e-06,2.935318167522801e-06
2020-03-12,15.0,9.0,21651.5,17468.5,2.850967390254861e-06,3.5818899643402955e-06
2020-03-13,9.0,8.0,33201.5,19802.0,1.6396468055034563e-06,3.0880960459632214e-06
2020-03-14,27.0,9.0,13168.5,16990.0,5.067265129446103e-06,3.7691125415125855e-06
2020-03-15,8.0,5.0,37012.5,29629.5,1.3970697509775557e-06,2.023127585304163e-06
2020-03-16,13.0,7.0,24088.5,22233.0,2.3976595891444303e-06,2.731092355009233e-06
2020-03-17,17.0,6.0,20355.0,26786.5,3.005135954118292e-06,2.201899505306578e-06
2020-03-18,15.0,10.0,22572.0,17212.0,2.5821720301535717e-06,3.602661069572429e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
