virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,1.0,1.0,302275.0,213828.5,2.3616107885937981e-07,4.84060610197124e-07
2020-01-04,2.0,1.0,110104.0,204932.5,4.891486050582368e-07,5.115421820241006e-07
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,2.0,2.0,108970.0,64393.5,4.943118301920228e-07,1.0233707170656277e-06
2020-01-08,3.0,3.0,72655.5,41242.0,7.40076316669775e-07,1.5442807049332559e-06
2020-01-09,3.0,3.0,74827.5,43190.5,7.245451003965919e-07,1.463618826821693e-06
2020-01-10,,,,,,
2020-01-11,3.0,3.0,71580.5,40524.0,7.770776595871439e-07,1.5857670011401666e-06
2020-01-12,1.0,1.0,285799.5,202628.0,2.553665275770313e-07,5.268978729659765e-07
2020-01-13,1.0,1.0,301407.5,214463.0,2.3307067821702795e-07,4.878926987345528e-07
2020-01-14,1.0,1.0,301590.0,214183.5,2.211686240458509e-07,4.916737508659604e-07
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,1.0,0.0,301252.0,402899.5,2.420096871637578e-07,0.0
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,4.0,2.0,56869.5,65584.5,1.0151137752208187e-06,1.0155227733520728e-06
2020-01-21,1.0,1.0,301609.5,213805.0,2.525825938767413e-07,4.966713088878337e-07
2020-01-22,6.0,4.0,40062.0,32221.0,1.5147888838732549e-06,1.9919921913906096e-06
2020-01-23,19.0,16.0,14860.0,8910.0,4.702913256745154e-06,7.837869745381902e-06
2020-01-24,43.0,30.0,6949.5,4999.0,1.0659268308160934e-05,1.4781674665195068e-05
2020-01-25,33.0,25.0,8711.5,5402.5,8.6123832500107e-06,1.3394167857854665e-05
2020-01-26,69.0,49.0,4734.0,3149.0,1.6338975489405593e-05,2.4709175525410362e-05
2020-01-27,79.0,39.0,4134.5,3773.0,1.915449628766465e-05,1.983163450806105e-05
2020-01-28,143.0,58.0,2317.5,2751.0,3.522497179538973e-05,2.8409466622060546e-05
2020-01-29,142.0,45.0,2407.0,3426.5,3.265927953629343e-05,2.1978150787696923e-05
