#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,1.0,1.0,66531.0,37325.0,1.23096315481085e-06,3.979323435429508e-06
2020-01-22,8.0,5.0,9272.5,4762.5,1.0142605026675052e-05,1.8949442886379146e-05
2020-01-23,5.0,4.0,14401.0,6504.5,6.300117434188973e-06,1.4051555155866876e-05
2020-01-24,9.0,6.0,8198.5,3869.0,1.054694091838074e-05,1.863157306371377e-05
2020-01-25,9.0,2.0,7817.0,11035.0,1.1413512838299692e-05,7.095117140383987e-06
2020-01-26,22.0,5.0,3062.0,4158.5,2.9641486224119282e-05,2.094328558264221e-05
2020-01-27,15.0,7.0,5301.0,3740.5,1.740310819512365e-05,2.320624048958537e-05
2020-01-28,12.0,8.0,6948.5,3308.0,1.3208251194521218e-05,2.6422958908996022e-05
2020-01-29,17.0,9.0,4510.5,2694.5,2.0281555714626582e-05,3.2211075599394434e-05
2020-01-30,26.0,13.0,2839.0,1690.0,3.236930891525466e-05,4.922657477706042e-05
2020-01-31,46.0,10.0,1389.0,2245.0,5.8854913681592356e-05,3.863987635239568e-05
2020-02-01,12.0,3.0,5473.5,6777.0,1.7346705716028644e-05,1.4250156751724267e-05
2020-02-02,14.0,6.0,4636.5,3305.0,2.042787646387622e-05,2.7630288322058643e-05
2020-02-03,27.0,16.0,2672.5,1379.5,3.3297938857584724e-05,6.0517576573646103e-05
2020-02-04,10.0,4.0,7632.0,6211.0,1.2300334815113667e-05,1.527878044774466e-05
2020-02-05,21.0,6.0,3527.5,4123.5,2.6036307010213668e-05,2.2460805893715468e-05
