#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,11.0,1.0,6680.5,36289.5,1.3906535439541336e-05,3.945831623472963e-06
2020-02-24,2.0,0.0,33109.0,80578.0,2.36475940937769e-06,0.0
2020-02-25,2.0,2.0,34727.5,14671.0,2.127544143881556e-06,6.616447827654767e-06
2020-02-26,,,,,,
2020-02-27,2.0,1.0,36648.0,43380.5,1.937218618995591e-06,3.0879446640316214e-06
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,1.0,1.0,75522.5,43426.0,8.771652824998509e-07,2.558709591578775e-06
2020-03-12,2.0,1.0,37170.0,42241.0,1.7420115704408508e-06,2.8852617942288995e-06
2020-03-13,6.0,1.0,15925.0,44009.0,5.198851746944158e-06,2.8124885742651667e-06
2020-03-14,1.0,0.0,75970.0,85498.5,8.157738022401149e-07,0.0
2020-03-15,,,,,,
2020-03-16,5.0,2.0,18709.5,16582.0,4.138541826172966e-06,5.4003261797012535e-06
2020-03-17,3.0,1.0,27488.0,44775.0,2.633341438173093e-06,2.728929931995066e-06
2020-03-18,2.0,2.0,39689.5,16684.0,1.620430386310604e-06,5.431446991793084e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
