#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,67351.5,39027.5,1.23193369240094e-06,3.7678265292665915e-06
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,2.0,2.0,31020.0,12702.0,2.5623647551852656e-06,7.944704854214666e-06
2020-02-15,,,,,,
2020-02-16,1.0,1.0,60646.5,33618.5,1.3697898331459004e-06,4.399375288709004e-06
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,1.0,0.0,66721.5,77385.5,1.2502906925860263e-06,0.0
2020-02-22,,,,,,
2020-02-23,3.0,1.0,22233.5,36289.5,3.792691483511274e-06,3.945831623472963e-06
2020-02-24,8.0,2.0,9747.5,14147.5,9.45903763751076e-06,6.903526666597632e-06
2020-02-25,10.0,4.0,8453.5,6976.0,1.0637720719407775e-05,1.3232895655309535e-05
2020-02-26,9.0,2.0,10285.0,15439.0,8.691176427984429e-06,6.13081316040353e-06
2020-02-27,13.0,8.0,7344.0,3624.0,1.259192102347134e-05,2.470355731225297e-05
2020-02-28,8.0,6.0,11099.0,4268.0,8.36416748827187e-06,2.0710508512019e-05
2020-02-29,13.0,2.0,7592.5,13751.0,1.2234741395212265e-05,6.988266700210347e-06
2020-03-01,1.0,1.0,76693.5,42486.5,7.957335947583438e-07,2.9765093879106096e-06
2020-03-02,6.0,3.0,16305.0,10060.5,5.0165756018845585e-06,9.020955680044743e-06
2020-03-03,3.0,2.0,27544.0,15833.0,2.729260124872748e-06,5.969169240870902e-06
2020-03-04,3.0,1.0,25593.5,43037.0,3.024044175237312e-06,3.152644753683865e-06
2020-03-05,1.0,1.0,76319.0,43322.0,9.239812875309649e-07,3.0660738923808064e-06
2020-03-06,2.0,1.0,36117.5,42187.5,2.0150077779300226e-06,3.2515038205169887e-06
2020-03-07,2.0,1.0,35067.5,38178.5,2.015665754241969e-06,3.5048735266387907e-06
2020-03-08,,,,,,
2020-03-09,13.0,9.0,7673.0,3179.0,1.2356063738279559e-05,2.7446304355118586e-05
2020-03-10,13.0,6.0,7507.0,4788.5,1.2448172512519993e-05,1.85627482767582e-05
2020-03-11,15.0,5.0,6945.5,6076.0,1.3157479237497764e-05,1.2793547957893875e-05
2020-03-12,60.0,11.0,1667.0,2615.0,5.226034711322552e-05,3.173787973651789e-05
2020-03-13,44.0,12.0,2332.5,2543.0,3.812491281092383e-05,3.3749862891182e-05
2020-03-14,52.0,11.0,2115.5,2789.0,4.2420237716485965e-05,3.188886440854853e-05
2020-03-15,72.0,12.0,1688.5,2732.0,5.298676066910504e-05,3.213970056512307e-05
2020-03-16,50.0,16.0,2157.0,2007.5,4.138541826172967e-05,4.320260943761004e-05
2020-03-17,43.0,14.0,2430.5,2268.5,3.774456061381433e-05,3.8205019047930934e-05
2020-03-18,35.0,13.0,3328.0,2527.0,2.835753176043557e-05,3.530440544665504e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
