#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,1.0,1.0,65841.5,38014.5,1.26526382648678e-06,3.7943752181765747e-06
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,68934.5,40435.5,1.182379704688845e-06,3.451763333298816e-06
2020-02-25,,,,,,
2020-02-26,1.0,1.0,74315.0,42846.0,9.65686269776048e-07,3.065406580201765e-06
2020-02-27,9.0,6.0,10330.0,4878.5,8.717483785480157e-06,1.8527667984189725e-05
2020-02-28,,,,,,
2020-02-29,7.0,1.0,13180.5,38377.0,6.587937674345065e-06,3.4941333501051733e-06
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,2.0,1.0,38230.0,44044.0,1.8195067499151646e-06,2.984584620435451e-06
2020-03-04,,,,,,
2020-03-05,4.0,1.0,21957.5,43322.0,3.695925150123861e-06,3.0660738923808064e-06
2020-03-06,,,,,,
2020-03-07,2.0,2.0,35067.5,13643.5,2.015665754241969e-06,7.0097470532775815e-06
2020-03-08,2.0,0.0,39446.0,81494.0,1.763811526155561e-06,0.0
2020-03-09,,,,,,
2020-03-10,7.0,2.0,13032.0,15257.5,6.702862122126147e-06,6.1875827589194e-06
2020-03-11,6.0,4.0,15503.5,7627.5,5.262991694999105e-06,1.02348383663151e-05
2020-03-12,8.0,3.0,12411.5,9923.5,6.968046281763402e-06,8.655785382686699e-06
2020-03-13,11.0,2.0,9367.0,16088.5,9.531228202730955e-06,5.624977148530333e-06
2020-03-14,55.0,5.0,1991.5,6101.0,4.4867559123206314e-05,1.4494938367522061e-05
2020-03-15,23.0,10.0,5275.0,3275.0,1.6926326324852994e-05,2.6783083804269226e-05
2020-03-16,18.0,3.0,6073.5,10940.0,1.4898750574222678e-05,8.10048926955188e-06
2020-03-17,12.0,5.0,8640.5,6620.5,1.0533365752692372e-05,1.364464965997533e-05
2020-03-18,19.0,14.0,6149.0,2355.5,1.5394088669950738e-05,3.80201289425516e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
