covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,67351.5,39027.5,1.23193369240094e-06,3.7678265292665915e-06
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,1.0,60114.5,33304.0,1.3900955690703736e-06,4.598398837524773e-06
2020-02-16,2.0,2.0,29416.5,11485.0,2.739579666291801e-06,8.798750577418007e-06
2020-02-17,3.0,2.0,22678.5,13853.5,3.7782566368226373e-06,7.254709213117966e-06
2020-02-18,1.0,1.0,67705.5,39285.5,1.1738880345592638e-06,3.6130169775667777e-06
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,2.0,2.0,32150.5,13702.5,2.5005813851720527e-06,7.456370909714532e-06
2020-02-22,,,,,,
2020-02-23,1.0,1.0,64863.5,36289.5,1.264230494503758e-06,3.945831623472963e-06
2020-02-24,5.0,0.0,15086.0,80578.0,5.9118985234442255e-06,0.0
2020-02-25,1.0,0.0,71453.5,82801.5,1.0637720719407778e-06,0.0
2020-02-26,1.0,1.0,74315.0,42846.0,9.65686269776048e-07,3.065406580201765e-06
2020-02-27,5.0,3.0,17389.5,10149.5,4.843046547488977e-06,9.263833992094862e-06
2020-02-28,3.0,1.0,25287.0,40616.5,3.136562808101952e-06,3.4517514186698335e-06
2020-02-29,1.0,1.0,70472.0,38377.0,9.411339534778663e-07,3.4941333501051733e-06
2020-03-01,,,,,,
2020-03-02,1.0,0.0,75209.0,84615.0,8.360959336474267e-07,0.0
2020-03-03,3.0,1.0,27544.0,44044.0,2.729260124872748e-06,2.984584620435451e-06
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,3.0,2.0,25748.5,14955.5,3.0225116668950343e-06,6.503007641033977e-06
2020-03-07,2.0,1.0,35067.5,38178.5,2.015665754241969e-06,3.5048735266387907e-06
2020-03-08,3.0,2.0,28133.0,15705.5,2.6457172892333418e-06,6.353119063804375e-06
2020-03-09,3.0,1.0,26934.0,43270.5,2.85139932421836e-06,3.049589372790954e-06
2020-03-10,7.0,4.0,13032.0,7357.0,6.702862122126147e-06,1.23751655178388e-05
2020-03-11,8.0,6.0,12147.5,5069.0,7.017322259998807e-06,1.535225754947265e-05
2020-03-12,3.0,3.0,26949.0,9923.5,2.6130173556612763e-06,8.655785382686699e-06
2020-03-13,6.0,4.0,15925.0,7805.5,5.198851746944158e-06,1.1249954297060667e-05
2020-03-14,13.0,9.0,8648.0,3385.0,1.0605059429121491e-05,2.609088906153971e-05
2020-03-15,9.0,7.0,12831.0,4686.5,6.62334508363813e-06,1.8748158662988456e-05
2020-03-16,9.0,6.0,11421.0,5557.5,7.449375287111339e-06,1.620097853910376e-05
2020-03-17,10.0,5.0,10228.0,6620.5,8.77780479391031e-06,1.364464965997533e-05
2020-03-18,10.0,8.0,11020.0,4074.5,8.10215193155302e-06,2.1725787967172325e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
