ιός,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,4.0,3.0,15076.5,6986.5,6.0842701841860675e-06,1.4045535626501115e-05
2020-01-04,6.0,5.0,10525.0,3801.5,9.05913349388131e-06,2.4145141273221593e-05
2020-01-05,1.0,1.0,60958.0,33863.0,1.3584040382635249e-06,4.241997471769507e-06
2020-01-06,,,,,,
2020-01-07,1.0,1.0,62304.0,35835.5,1.3393730127052923e-06,4.0388211488830634e-06
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,3.0,3.0,22893.5,8689.0,3.732322786203842e-06,1.1163704563722426e-05
2020-01-14,3.0,1.0,22586.5,38777.0,3.7651074938189493e-06,3.759497430383505e-06
2020-01-15,2.0,0.0,31814.0,78015.5,2.4250566553861114e-06,0.0
2020-01-16,1.0,1.0,65498.5,38137.5,1.2648397321575385e-06,3.724103515181308e-06
2020-01-17,4.0,1.0,17324.5,37286.0,5.1171507704510135e-06,3.958436417615042e-06
2020-01-18,4.0,4.0,15727.5,4913.5,5.779211022111261e-06,1.9087521055921665e-05
2020-01-19,3.0,3.0,20080.5,6760.0,4.340918364689234e-06,1.4116717016290691e-05
2020-01-20,3.0,2.0,21284.0,12900.5,4.033450751566323e-06,7.90157794511564e-06
2020-01-21,5.0,2.0,14616.5,12852.0,6.154815774054251e-06,7.958646870859016e-06
2020-01-22,7.0,3.0,10555.0,8329.0,8.87477939834067e-06,1.1369665731827486e-05
2020-01-23,11.0,3.0,6802.0,8788.5,1.3860258355215743e-05,1.0538666366900156e-05
2020-01-24,58.0,4.0,1113.0,6001.5,6.796917480734255e-05,1.2421048709142512e-05
2020-01-25,61.0,4.0,941.0,5029.5,7.735825368180901e-05,1.4190234280767974e-05
2020-01-26,43.0,13.0,1461.5,1506.0,5.7935632165324035e-05,5.445254251486973e-05
2020-01-27,28.0,6.0,2664.5,4420.5,3.2485801964230814e-05,1.9891063276787466e-05
2020-01-28,27.0,9.0,2985.5,2936.0,2.971856518767273e-05,2.9725828772620533e-05
