#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,1.0,1.0,105920.0,36503.5,3.6745595470826086e-08,2.752210506673698e-07
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,2.0,0.0,54535.0,99211.5,7.462190665612856e-08,0.0
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,5.0,3.0,27074.5,10230.5,1.7270911974272145e-07,8.353639639022524e-07
2020-01-22,20.0,6.0,9442.0,5994.5,6.536737247740772e-07,1.5311626041094876e-06
2020-01-23,21.0,7.0,9197.5,5248.0,6.917647937771738e-07,1.7683970768901574e-06
2020-01-24,11.0,7.0,14878.0,5165.0,3.6136797621384e-07,1.929616946226813e-06
2020-01-25,21.0,4.0,9181.0,8165.0,6.300831772802328e-07,9.393380203169421e-07
2020-01-26,25.0,10.0,8216.0,4069.5,7.891709582309489e-07,2.128033112195226e-06
2020-01-27,50.0,15.0,4959.0,3008.0,1.4464069905196992e-06,3.582157987495881e-06
2020-01-28,151.0,46.0,2551.5,1492.0,4.5225137473186516e-06,1.0813499572866768e-05
2020-01-29,67.0,20.0,4057.0,2459.0,2.220644570258874e-06,4.9681035332903925e-06
2020-01-30,146.0,27.0,2484.5,2057.5,4.1452921491176285e-06,5.617065894424127e-06
2020-01-31,70.0,22.0,3734.0,2133.0,2.287206702090706e-06,5.780629321348864e-06
2020-02-01,92.0,22.0,3121.0,2240.5,3.078622909217668e-06,5.281960663798402e-06
2020-02-02,173.0,28.0,2134.5,1963.0,5.363909643980885e-06,6.407821203480362e-06
2020-02-03,119.0,39.0,2667.5,1508.0,4.015433301020906e-06,1.019027330574295e-05
2020-02-04,71.0,21.0,3891.5,2237.0,2.163666169592299e-06,4.83472604139999e-06
