#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,12.0,0.0,14519.0,112772.0,3.7206309669231573e-07,0.0
2020-02-03,4.0,0.0,31227.5,101334.5,1.349725479334758e-07,0.0
2020-02-04,8.0,0.0,19801.0,115545.5,2.437933712216675e-07,0.0
2020-02-05,1.0,0.0,102535.0,98541.5,3.386099142003112e-08,0.0
2020-02-06,3.0,0.0,38520.5,98197.0,1.0749207971483641e-07,0.0
2020-02-07,6.0,0.0,22425.5,96817.0,2.1000782489155547e-07,0.0
2020-02-08,5.0,0.0,23579.5,90750.0,1.9452955652902468e-07,0.0
2020-02-09,2.0,0.0,46239.5,87860.0,9.029595265999911e-08,0.0
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,4.0,0.0,28845.5,98509.5,1.5420614215400688e-07,0.0
2020-02-13,3.0,0.0,37804.0,103137.0,1.1757451304359892e-07,0.0
2020-02-14,2.0,0.0,54387.5,109853.0,7.334267376731319e-08,0.0
2020-02-15,1.0,1.0,100255.0,34803.5,4.057008762570946e-08,2.9932493247977837e-07
2020-02-16,,,,,,
2020-02-17,1.0,0.0,108459.0,104321.5,3.9136964189521217e-08,0.0
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,1.0,1.0,92293.0,33209.5,4.2073581308289776e-08,3.3325679535599993e-07
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,1.0,1.0,109190.5,39549.5,3.5743443428262317e-08,2.29378789480964e-07
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,51.0,2.0,4468.0,13881.5,1.8092024978630127e-06,5.612313190647754e-07
2020-03-13,9.0,1.0,15786.5,35702.5,3.441836331351244e-07,2.9538319027433123e-07
2020-03-14,4.0,1.0,29711.5,36131.0,1.563243212231878e-07,2.925619060993305e-07
2020-03-15,1.0,1.0,102945.0,36485.5,4.0646251003200285e-08,2.794494287355053e-07
2020-03-16,2.0,2.0,50061.0,14227.0,8.383148095101451e-08,5.769651288045803e-07
2020-03-17,8.0,2.0,17697.5,14875.5,3.190179224667614e-07,5.384094577005338e-07
2020-03-18,12.0,3.0,12506.5,10074.0,4.840017848372485e-07,8.121491008291229e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
