#coronaviruspandemic,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,6.0,0.0,21278.0,98742.5,2.128473526897661e-07,0.0
2020-03-13,1.0,1.0,97539.0,35702.5,3.8242625903902696e-08,2.9538319027433123e-07
2020-03-14,,,,,,
2020-03-15,1.0,0.0,102945.0,99818.0,4.0646251003200285e-08,0.0
2020-03-16,12.0,2.0,12684.0,14227.0,5.02988885706087e-07,5.769651288045803e-07
2020-03-17,3.0,2.0,37282.0,14875.5,1.1963172092503554e-07,5.384094577005338e-07
2020-03-18,2.0,1.0,50614.0,36813.5,8.066696413954142e-08,2.7071636694304104e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
