#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,1.0,1.0,99220.5,34157.5,3.773630331625501e-08,2.8393006915968627e-07
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,1.0,1.0,105232.5,36395.0,3.7931272403394833e-08,2.776230800281843e-07
2020-03-04,3.0,2.0,33893.0,13094.0,1.2622074392486934e-07,6.665135907119999e-07
2020-03-05,,,,,,
2020-03-06,14.0,9.0,11785.0,4124.0,4.953324119206981e-07,2.2728380448845108e-06
2020-03-07,3.0,0.0,37605.0,103179.5,1.0620119015425758e-07,0.0
2020-03-08,3.0,2.0,37547.0,14716.5,1.1161161479572673e-07,5.269242483162136e-07
2020-03-09,,,,,,
2020-03-10,4.0,1.0,26051.0,35089.5,1.6468037433166528e-07,2.5108853155643e-07
2020-03-11,7.0,1.0,18083.5,34604.0,2.7518250103468624e-07,2.863790943261143e-07
2020-03-12,4.0,1.0,28939.0,35881.5,1.418982351265108e-07,2.806156595323877e-07
2020-03-13,4.0,4.0,28597.5,8034.5,1.5297050361561079e-07,1.181532761097325e-06
2020-03-14,5.0,4.0,25202.5,8069.5,1.9540540152898475e-07,1.1702476243973222e-06
2020-03-15,8.0,3.0,17229.0,10324.5,3.251700080256023e-07,8.38348286206516e-07
2020-03-16,39.0,7.0,5075.5,5129.0,1.6347138785447827e-06,2.0193779508160306e-06
2020-03-17,25.0,10.0,7298.5,4024.0,9.969310077086295e-07,2.69204728850267e-06
2020-03-18,71.0,8.0,3383.0,4650.5,2.8636772269537205e-06,2.1657309355443283e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
