covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,1.0,1.0,103367.0,36575.5,3.4322099241183006e-08,2.557838483242705e-07
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,1.0,1.0,94941.5,34638.5,3.834029024289839e-08,3.105104045826368e-07
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,1.0,1.0,101389.0,35881.5,3.54745587816277e-08,2.806156595323877e-07
2020-03-13,5.0,4.0,24140.0,8034.5,1.9121312951951352e-07,1.181532761097325e-06
2020-03-14,3.0,2.0,36995.5,14460.5,1.1724324091739088e-07,5.851238121986611e-07
2020-03-15,161.0,2.0,1981.5,14543.0,6.544046411515245e-06,5.588988574710106e-07
2020-03-16,26.0,7.0,6924.5,5129.0,1.0898092523631883e-06,2.0193779508160306e-06
2020-03-17,9.0,6.0,16156.5,5920.0,3.588951627751065e-07,1.6152283731016015e-06
2020-03-18,8.0,7.0,16979.5,5132.5,3.2266785655816567e-07,1.8950145686012862e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
