#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,1.0,1.0,377000.5,273078.5,7.305471191568376e-08,2.196893504708602e-07
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,2.0,0.0,162023.0,465693.0,1.576429602920241e-07,0.0
2020-01-21,2.0,0.0,164092.5,468741.5,1.5473775277765872e-07,0.0
2020-01-22,20.0,11.0,32351.0,24332.5,1.4974097058203866e-06,2.6338006653459353e-06
2020-01-23,91.0,18.0,11134.0,16247.0,6.95557208586753e-06,4.366402281008552e-06
2020-01-24,168.0,18.0,7156.5,15758.5,1.2858934579098751e-05,4.481774862521556e-06
2020-01-25,2451.0,79.0,701.0,4486.5,0.00017339298448164624,1.965610279693902e-05
2020-01-26,3321.0,90.0,513.0,4133.0,0.00022310523795473564,2.1434899827568135e-05
2020-01-27,764.0,88.0,2078.0,4074.0,5.7830757682085706e-05,2.200150710323657e-05
2020-01-28,1675.0,79.0,906.5,4511.0,0.00012629985168250254,1.947984858979458e-05
2020-01-29,999.0,56.0,1462.5,6096.0,8.005571685567109e-05,1.3709549484618864e-05
2020-01-30,329.0,32.0,4126.0,9721.5,2.531506093773757e-05,8.204627512474879e-06
2020-01-31,162.0,30.0,7206.5,10575.0,1.2502540060800932e-05,7.380963510976723e-06
2020-02-01,299.0,25.0,4481.5,12855.0,2.2631537675984804e-05,5.655900019976639e-06
2020-02-02,429.0,33.0,3305.5,9544.0,3.277635933647202e-05,8.2303828823998e-06
2020-02-03,319.0,28.0,4332.5,10948.0,2.471347859177486e-05,7.141445249982463e-06
2020-02-04,219.0,23.0,5768.5,12819.0,1.6937747975591082e-05,5.848036483611259e-06
