#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,1.0,1.0,363222.0,261690.0,6.718013789663826e-08,2.38165553639646e-07
2020-01-27,1.0,1.0,349899.5,254741.5,7.569470900796557e-08,2.500171261731429e-07
2020-01-28,3.0,0.0,117285.5,462844.5,2.262086895806016e-07,0.0
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,1.0,0.0,353181.0,453008.5,7.640177001508629e-08,0.0
2020-02-03,,,,,,
2020-02-04,2.0,0.0,158929.5,453083.0,1.546826299140738e-07,0.0
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,1.0,1.0,354373.0,257108.5,7.991785084276169e-08,2.511203104851519e-07
2020-02-08,1.0,1.0,360325.5,262549.0,7.948719946088603e-08,2.4498965531180447e-07
2020-02-09,,,,,,
2020-02-10,1.0,1.0,363347.5,263515.0,7.533207508679385e-08,2.453572278558968e-07
2020-02-11,1.0,1.0,371087.0,270636.5,6.984896209680996e-08,2.2515494037221714e-07
2020-02-12,1.0,0.0,369234.5,474537.0,6.822425366759943e-08,0.0
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,2.0,1.0,167171.0,264499.0,1.471308202653578e-07,2.4168302256521877e-07
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,1.0,1.0,373457.5,271489.0,7.738674855629215e-08,2.418353367375688e-07
2020-03-11,1.0,1.0,376592.0,274703.0,7.614018596022178e-08,2.385372703750784e-07
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,2.0,0.0,187195.0,561664.5,1.059312215061566e-07,0.0
2020-03-17,2.0,2.0,189949.0,122796.5,1.0486641513058779e-07,3.821238635397471e-07
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
