#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,4.0,1.0,92869.5,254545.0,3.0988687889372864e-07,2.550516160708023e-07
2020-02-04,18.0,0.0,33152.0,453083.0,1.3921436692266642e-06,0.0
2020-02-05,4.0,1.0,93704.0,260588.0,3.1492819479694534e-07,2.478328258543169e-07
2020-02-06,4.0,0.0,93584.5,461101.0,3.1297141319111913e-07,0.0
2020-02-07,3.0,1.0,115128.0,257108.5,2.397535525282851e-07,2.511203104851519e-07
2020-02-08,19.0,0.0,32171.0,462904.0,1.5102567897568343e-06,0.0
2020-02-09,5.0,1.0,82753.5,275123.0,3.707967041809108e-07,2.2061482262457953e-07
2020-02-10,2.0,0.0,163108.5,467315.0,1.506641501735877e-07,0.0
2020-02-11,,,,,,
2020-02-12,1.0,0.0,369234.5,474537.0,6.822425366759943e-08,0.0
2020-02-13,2.0,2.0,171152.5,106931.0,1.4006805766854056e-07,4.603162510739754e-07
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,2.0,0.0,167350.5,471840.5,1.404095141767625e-07,0.0
2020-02-29,1.0,0.0,382062.5,490471.5,6.794611927098706e-08,0.0
2020-03-01,10.0,1.0,51862.0,268512.0,7.287377286032036e-07,2.3918741338425787e-07
2020-03-02,23.0,3.0,29781.5,68816.5,1.3788769598712632e-06,7.210541812129333e-07
2020-03-03,23.0,2.0,29518.5,102584.0,1.5733026680682285e-06,4.5155156504385826e-07
2020-03-04,1.0,0.0,360292.5,464127.5,7.620499142693848e-08,0.0
2020-03-05,,,,,,
2020-03-06,1.0,1.0,358464.0,261152.5,7.750836043929878e-08,2.5105405043073345e-07
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,1.0,1.0,376104.5,271664.5,7.28262157481011e-08,2.3358651775993327e-07
2020-03-10,,,,,,
2020-03-11,2.0,2.0,167411.0,105101.5,1.5228037192044355e-07,4.770745407501568e-07
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
